 ThierryGueorgiou;NORT Middle Norway-Men;FRA;1740;1.00333;63,99,104,56,57,45,80,69,71,30,42,73,334,64,43,116,24,89,171,59,23,28;0.915343915343915,0.995959595959596,1.04551282051282,1.02619047619048,1.0233918128655,1.05185185185185,1.015,1.03671497584541,0.986854460093897,1.02,1.07301587301587,1.01187214611872,1.01457085828343,0.973958333333333,0.972093023255814,1.00747126436782,0.819444444444445,0.972284644194757,0.987134502923977,1.01129943502825,1.03478260869565,0.964285714285714;22;22
 PeterÖberg;NORT Middle Norway-Men;SWE;1782;0.97969;58,90,105,60,60,48,79,73,72,33,47,74,326,67,43,114,24,95,180,71,33,30;0.994252873563218,1.09555555555556,1.03555555555556,0.957777777777778,0.972222222222222,0.986111111111111,1.02784810126582,0.979908675799087,0.973148148148148,0.927272727272727,0.95886524822695,0.998198198198198,1.03946830265849,0.930348258706468,0.972093023255814,1.02514619883041,0.819444444444445,0.910877192982456,0.937777777777778,0.84037558685446,0.721212121212121,0.9;22;22
 MatthiasKyburz;NORT Middle Norway-Men;SUI;1806;0.96667;63,102,114,57,60,45,90,74,70,31,47,74,346,94,42,110,23,88,170,59,23,24;0.915343915343915,0.966666666666667,0.953801169590643,1.00818713450292,0.972222222222222,1.05185185185185,0.902222222222222,0.966666666666667,1.00095238095238,0.987096774193548,0.95886524822695,0.998198198198198,0.979383429672447,0.663120567375887,0.995238095238095,1.06242424242424,0.855072463768116,0.983333333333333,0.992941176470588,1.01129943502825,1.03478260869565,1.125;22;22
 TueLassen;NORT Middle Norway-Men;DEN;1809;0.96506;60,96,123,56,54,48,83,78,75,30,47,80,340,67,41,125,23,98,171,60,25,29;0.961111111111111,1.02708333333333,0.884010840108401,1.02619047619048,1.08024691358025,0.986111111111111,0.978313253012048,0.917094017094017,0.934222222222222,1.02,0.95886524822695,0.923333333333333,0.996666666666667,0.930348258706468,1.01951219512195,0.934933333333333,0.855072463768116,0.882993197278912,0.987134502923977,0.994444444444444,0.952,0.931034482758621;22;22
 OlavLundanes;NORT Middle Norway-Men;NOR;1815;0.96187;67,96,104,60,58,48,82,113,72,32,48,77,351,57,45,120,21,83,168,63,23,27;0.860696517412935,1.02708333333333,1.04551282051282,0.957777777777778,1.00574712643678,0.986111111111111,0.990243902439024,0.633038348082596,0.973148148148148,0.95625,0.938888888888889,0.959307359307359,0.965432098765432,1.09356725146199,0.928888888888889,0.973888888888889,0.936507936507937,1.0425702811245,1.0047619047619,0.947089947089947,1.03478260869565,1;22;22
 MatthiasMerz;NORT Middle Norway-Men;SUI;1829;0.95451;55,107,124,57,59,52,81,70,72,30,45,80,376,61,41,116,21,93,174,58,25,32;1.04848484848485,0.921495327102804,0.876881720430107,1.00818713450292,0.988700564971751,0.91025641025641,1.00246913580247,1.02190476190476,0.973148148148148,1.02,1.00148148148148,0.923333333333333,0.901241134751773,1.02185792349727,1.01951219512195,1.00747126436782,0.936507936507937,0.930465949820789,0.970114942528736,1.02873563218391,0.952,0.84375;22;22
 WilliamLind;NORT Middle Norway-Men;SWE;1833;0.95243;70,102,111,60,59,47,86,74,72,31,43,78,359,61,53,113,19,113,172,61,23,26;0.823809523809524,0.966666666666667,0.97957957957958,0.957777777777778,0.988700564971751,1.00709219858156,0.944186046511628,0.966666666666667,0.973148148148148,0.987096774193548,1.04806201550388,0.947008547008547,0.943918291550604,1.02185792349727,0.788679245283019,1.03421828908555,1.03508771929825,0.765781710914454,0.981395348837209,0.978142076502732,1.03478260869565,1.03846153846154;22;22
 CarlWaaler Kaas;NORT Middle Norway-Men;NOR;1835;0.95139;55,102,118,62,59,50,82,74,75,31,46,75,369,71,50,123,24,83,172,62,24,28;1.04848484848485,0.966666666666667,0.921468926553672,0.926881720430108,0.988700564971751,0.946666666666667,0.990243902439024,0.966666666666667,0.934222222222222,0.987096774193548,0.979710144927536,0.984888888888889,0.918337850045167,0.877934272300469,0.836,0.950135501355013,0.819444444444445,1.0425702811245,0.981395348837209,0.962365591397849,0.991666666666667,0.964285714285714;22;22
 GustavBergman;NORT Middle Norway-Men;SWE;1837;0.95035;66,103,122,57,62,50,84,78,77,30,49,82,343,79,40,131,19,88,166,61,23,27;0.873737373737374,0.957281553398058,0.891256830601093,1.00818713450292,0.940860215053763,0.946666666666667,0.966666666666667,0.917094017094017,0.90995670995671,1.02,0.919727891156463,0.900813008130081,0.987949465500486,0.789029535864979,1.045,0.892111959287532,1.03508771929825,0.983333333333333,1.01686746987952,0.978142076502732,1.03478260869565,1;22;22
 Hans GunnarOmdal;NORT Middle Norway-Men;NOR;1840;0.94880;62,98,120,62,63,46,86,78,71,32,45,81,348,68,51,122,20,97,168,65,26,31;0.93010752688172,1.00612244897959,0.906111111111111,0.926881720430108,0.925925925925926,1.02898550724638,0.944186046511628,0.917094017094017,0.986854460093897,0.95625,1.00148148148148,0.911934156378601,0.973754789272031,0.916666666666667,0.819607843137255,0.957923497267759,0.983333333333333,0.892096219931271,1.0047619047619,0.917948717948718,0.915384615384615,0.870967741935484;22;22
