 OlavLundanes;NORT Sprint Qual Norway-Men;NOR;796;1.01784;44,40,32,40,21,57,58,31,33,28,40,224,63,21,25,12,27;0.957575757575758,1.18166666666667,1.04791666666667,1.07166666666667,1.00952380952381,1.06081871345029,1.06781609195402,0.860215053763441,0.872727272727273,1.06428571428571,1.00166666666667,0.981845238095238,1.07513227513228,0.987301587301587,1.05333333333333,1.04444444444444,1.04444444444444;17;17
 MatthiasKyburz;NORT Sprint Qual Norway-Men;SUI;812;0.99778;46,50,35,42,22,60,66,25,28,29,41,212,70,21,26,11,28;0.915942028985507,0.945333333333333,0.958095238095238,1.02063492063492,0.963636363636364,1.00777777777778,0.938383838383838,1.06666666666667,1.02857142857143,1.02758620689655,0.977235772357724,1.0374213836478,0.967619047619048,0.987301587301587,1.01282051282051,1.13939393939394,1.00714285714286;17;17
 ThierryGueorgiou;NORT Sprint Qual Norway-Men;FRA;821;0.98685;45,47,34,44,22,64,63,27,28,30,43,217,69,21,26,13,28;0.936296296296296,1.00567375886525,0.986274509803922,0.974242424242424,0.963636363636364,0.944791666666667,0.983068783068783,0.987654320987654,1.02857142857143,0.993333333333333,0.931782945736434,1.01351766513057,0.981642512077295,0.987301587301587,1.01282051282051,0.964102564102564,1.00714285714286;17;17
 GustavBergman;NORT Sprint Qual Norway-Men;SWE;827;0.97969;44,51,35,45,22,68,62,27,28,34,39,216,67,20,27,13,29;0.957575757575758,0.926797385620915,0.958095238095238,0.952592592592593,0.963636363636364,0.88921568627451,0.998924731182796,0.987654320987654,1.02857142857143,0.876470588235294,1.02735042735043,1.01820987654321,1.01094527363184,1.03666666666667,0.975308641975309,0.964102564102564,0.972413793103448;17;17
 EskilKinneberg;NORT Sprint Qual Norway-Men;NOR;831;0.97497;45,50,34,43,20,62,64,27,30,31,41,218,68,22,30,14,32;0.936296296296296,0.945333333333333,0.986274509803922,0.996899224806202,1.06,0.975268817204301,0.967708333333333,0.987654320987654,0.96,0.961290322580645,0.977235772357724,1.00886850152905,0.996078431372549,0.942424242424242,0.877777777777778,0.895238095238095,0.88125;17;17
 JonasLeandersson;NORT Sprint Qual Norway-Men;SWE;833;0.97263;51,53,36,45,22,62,62,25,30,31,40,219,67,20,27,14,29;0.826143790849673,0.891823899371069,0.931481481481481,0.952592592592593,0.963636363636364,0.975268817204301,0.998924731182796,1.06666666666667,0.96,0.961290322580645,1.00166666666667,1.00426179604262,1.01094527363184,1.03666666666667,0.975308641975309,0.895238095238095,0.972413793103448;17;17
 CarlWaaler Kaas;NORT Sprint Qual Norway-Men;NOR;834;0.97146;42,52,34,54,22,63,62,27,29,30,41,217,67,22,28,13,31;1.0031746031746,0.908974358974359,0.986274509803922,0.793827160493827,0.963636363636364,0.95978835978836,0.998924731182796,0.987654320987654,0.993103448275862,0.993333333333333,0.977235772357724,1.01351766513057,1.01094527363184,0.942424242424242,0.94047619047619,0.964102564102564,0.909677419354839;17;17
 FredricPortin;NORT Sprint Qual Norway-Men;FIN;841;0.96338;45,47,36,47,22,58,62,28,37,28,41,209,83,25,28,16,29;0.936296296296296,1.00567375886525,0.931481481481481,0.912056737588652,0.963636363636364,1.04252873563218,0.998924731182796,0.952380952380952,0.778378378378378,1.06428571428571,0.977235772357724,1.05231259968102,0.816064257028112,0.829333333333333,0.94047619047619,0.783333333333333,0.972413793103448;17;17
 FabianHertner;NORT Sprint Qual Norway-Men;SUI;843;0.96109;43,49,34,48,22,61,61,28,28,31,41,238,70,21,27,12,29;0.97984496124031,0.964625850340136,0.986274509803922,0.893055555555556,0.963636363636364,0.991256830601093,1.01530054644809,0.952380952380952,1.02857142857143,0.961290322580645,0.977235772357724,0.924089635854342,0.967619047619048,0.987301587301587,0.975308641975309,1.04444444444444,0.972413793103448;17;17
 MatthiasMerz;NORT Sprint Qual Norway-Men;SUI;849;0.95430;42,52,33,49,21,59,61,26,30,31,40,231,83,21,27,13,30;1.0031746031746,0.908974358974359,1.01616161616162,0.874829931972789,1.00952380952381,1.02485875706215,1.01530054644809,1.02564102564103,0.96,0.961290322580645,1.00166666666667,0.952092352092352,0.816064257028112,0.987301587301587,0.975308641975309,0.964102564102564,0.94;17;17
 BjørnEkeberg;NORT Sprint Qual Norway-Men;NOR;852;0.95094;42,47,35,42,21,68,65,29,30,32,46,226,73,22,28,14,32;1.0031746031746,1.00567375886525,0.958095238095238,1.02063492063492,1.00952380952381,0.88921568627451,0.952820512820513,0.919540229885057,0.96,0.93125,0.871014492753623,0.973156342182891,0.927853881278539,0.942424242424242,0.94047619047619,0.895238095238095,0.88125;17;17
 MattiasKarlsson;NORT Sprint Qual Norway-Men;SWE;856;0.94650;41,44,33,48,33,63,63,28,29,34,41,237,69,22,28,13,30;1.02764227642276,1.07424242424242,1.01616161616162,0.893055555555556,0.642424242424242,0.95978835978836,0.983068783068783,0.952380952380952,0.993103448275862,0.876470588235294,0.977235772357724,0.927988748241913,0.981642512077295,0.942424242424242,0.94047619047619,0.964102564102564,0.94;17;17
 TeroFöhr;NORT Sprint Qual Norway-Men;FIN;857;0.94539;42,48,34,51,24,63,63,28,29,30,42,232,74,22,29,13,33;1.0031746031746,0.984722222222222,0.986274509803922,0.840522875816993,0.883333333333333,0.95978835978836,0.983068783068783,0.952380952380952,0.993103448275862,0.993333333333333,0.953968253968254,0.947988505747126,0.915315315315315,0.942424242424242,0.908045977011494,0.964102564102564,0.854545454545454;17;17
 AndreasRüedlinger;NORT Sprint Qual Norway-Men;SUI;860;0.94209;47,52,36,44,33,65,66,28,29,32,43,220,71,21,26,16,31;0.89645390070922,0.908974358974359,0.931481481481481,0.974242424242424,0.642424242424242,0.93025641025641,0.938383838383838,0.952380952380952,0.993103448275862,0.93125,0.931782945736434,0.99969696969697,0.953990610328639,0.987301587301587,1.01282051282051,0.783333333333333,0.909677419354839;17;17
 WilliamLind;NORT Sprint Qual Norway-Men;SWE;860;0.94209;41,54,35,43,29,62,60,27,36,33,38,244,68,22,26,13,29;1.02764227642276,0.875308641975309,0.958095238095238,0.996899224806202,0.731034482758621,0.975268817204301,1.03222222222222,0.987654320987654,0.8,0.903030303030303,1.05438596491228,0.901366120218579,0.996078431372549,0.942424242424242,1.01282051282051,0.964102564102564,0.972413793103448;17;17
 JerkerLysell;NORT Sprint Qual Norway-Men;SWE;861;0.94100;43,59,35,43,22,65,62,27,35,32,42,223,78,21,27,14,33;0.97984496124031,0.801129943502825,0.958095238095238,0.996899224806202,0.963636363636364,0.93025641025641,0.998924731182796,0.987654320987654,0.822857142857143,0.93125,0.953968253968254,0.986248131539611,0.868376068376068,0.987301587301587,0.975308641975309,0.895238095238095,0.854545454545454;17;17
 ØysteinKvaal Østerbø;NORT Sprint Qual Norway-Men;NOR;863;0.93882;49,49,35,43,21,63,65,32,35,29,40,243,71,21,27,12,28;0.859863945578231,0.964625850340136,0.958095238095238,0.996899224806202,1.00952380952381,0.95978835978836,0.952820512820513,0.833333333333333,0.822857142857143,1.02758620689655,1.00166666666667,0.905075445816187,0.953990610328639,0.987301587301587,0.975308641975309,1.04444444444444,1.00714285714286;17;17
 TuomasTervo;NORT Sprint Qual Norway-Men;FIN;863;0.93882;48,49,35,43,21,61,69,28,35,32,41,239,70,21,29,13,29;0.877777777777778,0.964625850340136,0.958095238095238,0.996899224806202,1.00952380952381,0.991256830601093,0.897584541062802,0.952380952380952,0.822857142857143,0.93125,0.977235772357724,0.920223152022315,0.967619047619048,0.987301587301587,0.908045977011494,0.964102564102564,0.972413793103448;17;17
 AndreasKyburz;NORT Sprint Qual Norway-Men;SUI;866;0.93557;49,57,38,48,29,64,67,27,32,32,40,224,69,22,27,13,28;0.859863945578231,0.829239766081871,0.882456140350877,0.893055555555556,0.731034482758621,0.944791666666667,0.924378109452736,0.987654320987654,0.9,0.93125,1.00166666666667,0.981845238095238,0.981642512077295,0.942424242424242,0.975308641975309,0.964102564102564,1.00714285714286;17;17
 PeterÖberg;NORT Sprint Qual Norway-Men;SWE;868;0.93341;45,50,35,48,26,59,66,33,33,30,43,238,70,21,26,14,31;0.936296296296296,0.945333333333333,0.958095238095238,0.893055555555556,0.815384615384615,1.02485875706215,0.938383838383838,0.808080808080808,0.872727272727273,0.993333333333333,0.931782945736434,0.924089635854342,0.967619047619048,0.987301587301587,1.01282051282051,0.895238095238095,0.909677419354839;17;17
 PhilippeAdamski;NORT Sprint Qual Norway-Men;FRA;870;0.93126;48,49,36,45,22,70,69,29,34,31,40,237,69,21,27,14,29;0.877777777777778,0.964625850340136,0.931481481481481,0.952592592592593,0.963636363636364,0.863809523809524,0.897584541062802,0.919540229885057,0.847058823529412,0.961290322580645,1.00166666666667,0.927988748241913,0.981642512077295,0.987301587301587,0.975308641975309,0.895238095238095,0.972413793103448;17;17
 MartinHubmann;NORT Sprint Qual Norway-Men;SUI;871;0.93020;46,48,36,44,22,65,77,27,38,33,40,240,67,21,28,12,27;0.915942028985507,0.984722222222222,0.931481481481481,0.974242424242424,0.963636363636364,0.93025641025641,0.804329004329004,0.987654320987654,0.757894736842105,0.903030303030303,1.00166666666667,0.916388888888889,1.01094527363184,0.987301587301587,0.94047619047619,1.04444444444444,1.04444444444444;17;17
 TueLassen;NORT Sprint Qual Norway-Men;DEN;874;0.92700;42,50,36,43,21,63,70,33,34,31,42,245,71,21,28,12,32;1.0031746031746,0.945333333333333,0.931481481481481,0.996899224806202,1.00952380952381,0.95978835978836,0.884761904761905,0.808080808080808,0.847058823529412,0.961290322580645,0.953968253968254,0.897687074829932,0.953990610328639,0.987301587301587,0.94047619047619,1.04444444444444,0.88125;17;17
 WojciechKowalski;NORT Sprint Qual Norway-Men;POL;874;0.92700;44,54,34,45,36,63,67,36,37,32,44,222,73,20,25,13,29;0.957575757575758,0.875308641975309,0.986274509803922,0.952592592592593,0.588888888888889,0.95978835978836,0.924378109452736,0.740740740740741,0.778378378378378,0.93125,0.910606060606061,0.990690690690691,0.927853881278539,1.03666666666667,1.05333333333333,0.964102564102564,0.972413793103448;17;17
 ErikRost;NORT Sprint Qual Norway-Men;SWE;876;0.92489;43,45,36,50,23,62,76,32,35,31,47,228,71,23,30,14,30;0.97984496124031,1.05037037037037,0.931481481481481,0.857333333333333,0.921739130434783,0.975268817204301,0.814912280701754,0.833333333333333,0.822857142857143,0.961290322580645,0.852482269503546,0.964619883040936,0.953990610328639,0.901449275362319,0.877777777777778,0.895238095238095,0.94;17;17
 TuomoMäkelä;NORT Sprint Qual Norway-Men;FIN;877;0.92383;45,53,35,47,21,61,67,33,36,30,43,238,69,27,27,14,31;0.936296296296296,0.891823899371069,0.958095238095238,0.912056737588652,1.00952380952381,0.991256830601093,0.924378109452736,0.808080808080808,0.8,0.993333333333333,0.931782945736434,0.924089635854342,0.981642512077295,0.767901234567901,0.975308641975309,0.895238095238095,0.909677419354839;17;17
