Kyburz Matthias;WOC Sprint Final-Men (MEN);Switzerland;932;1.01697;85,41,46,90,40,35,25,14,10,64,86,44,23,28,94,53,53,38,30,17,16;1.06951871657754,0.968957871396896,1.02569169960474,1.04747474747475,0.993181818181818,1.04155844155844,1.04363636363636,1,1.06363636363636,1.06534090909091,1.04334038054968,0.931818181818182,0.988142292490119,0.824675324675325,1.0348162475822,0.962264150943396,1.00514579759863,1.00239234449761,1.03333333333333,0.994652406417112,1.03409090909091;21;21
Merz Matthias;WOC Sprint Final-Men (MEN);Switzerland;949;0.99875;96,39,44,92,40,35,26,14,11,74,90,42,23,23,98,49,51,37,29,18,18;0.946969696969697,1.01864801864802,1.07231404958678,1.02470355731225,0.993181818181818,1.04155844155844,1.0034965034965,1,0.966942148760331,0.921375921375921,0.996969696969697,0.976190476190476,0.988142292490119,1.00395256916996,0.992578849721707,1.04081632653061,1.0445632798574,1.02948402948403,1.06896551724138,0.939393939393939,0.919191919191919;21;21
Müller Matthias;WOC Sprint Final-Men (MEN);Switzerland;959;0.98834;86,40,47,95,44,37,26,15,11,71,93,43,24,22,94,51,54,39,33,16,18;1.05708245243129,0.993181818181818,1.00386847195358,0.992344497607655,0.902892561983471,0.985257985257985,1.0034965034965,0.933333333333333,0.966942148760331,0.960307298335467,0.964809384164223,0.953488372093023,0.946969696969697,1.0495867768595,1.0348162475822,1,0.986531986531987,0.976689976689977,0.939393939393939,1.05681818181818,0.919191919191919;21;21
Fraser Scott;WOC Sprint Final-Men (MEN);Great Britain;971;0.97613;82,41,52,95,45,37,28,15,21,69,85,41,22,22,97,51,54,38,35,22,19;1.10864745011086,0.968957871396896,0.907342657342657,0.992344497607655,0.882828282828283,0.985257985257985,0.931818181818182,0.933333333333333,0.506493506493507,0.988142292490119,1.05561497326203,1,1.03305785123967,1.0495867768595,1.00281162136832,1,0.986531986531987,1.00239234449761,0.885714285714286,0.768595041322314,0.870813397129187;21;21
Khramov Andrey;WOC Sprint Final-Men (MEN);Russia;982;0.96519;102,40,48,99,40,37,27,14,12,66,97,42,24,24,99,53,53,40,31,17,17;0.89126559714795,0.993181818181818,0.982954545454545,0.952249770431589,0.993181818181818,0.985257985257985,0.966329966329966,1,0.886363636363636,1.03305785123967,0.925023430178069,0.976190476190476,0.946969696969697,0.962121212121212,0.982552800734619,0.962264150943396,1.00514579759863,0.952272727272727,1,0.994652406417112,0.973262032085562;21;21
Mäkelä Tuomo;WOC Sprint Final-Men (MEN);Finland;992;0.95546;99,39,46,93,42,37,26,15,12,71,102,41,23,24,98,55,56,41,34,20,18;0.918273645546373,1.01864801864802,1.02569169960474,1.01368523949169,0.945887445887446,0.985257985257985,1.0034965034965,0.933333333333333,0.886363636363636,0.960307298335467,0.879679144385027,1,0.988142292490119,0.962121212121212,0.992578849721707,0.927272727272727,0.951298701298701,0.929046563192905,0.911764705882353,0.845454545454545,0.919191919191919;21;21
Gvildys Jonas Vytautas;WOC Sprint Final-Men (MEN);Lithuania;993;0.95450;101,43,47,95,43,37,26,16,11,68,92,44,24,25,106,59,50,40,31,19,16;0.9000900090009,0.923890063424947,1.00386847195358,0.992344497607655,0.923890063424947,0.985257985257985,1.0034965034965,0.875,0.966942148760331,1.00267379679144,0.975296442687747,0.931818181818182,0.946969696969697,0.923636363636364,0.917667238421955,0.864406779661017,1.06545454545455,0.952272727272727,1,0.889952153110048,1.03409090909091;21;21
Lenkei Zsolt;WOC Sprint Final-Men (MEN);Hungary;999;0.94877;94,42,53,102,43,39,27,16,11,72,90,46,24,23,104,52,56,39,32,17,17;0.967117988394584,0.945887445887446,0.890222984562607,0.924242424242424,0.923890063424947,0.934731934731935,0.966329966329966,0.875,0.966942148760331,0.946969696969697,0.996969696969697,0.891304347826087,0.946969696969697,1.00395256916996,0.935314685314685,0.980769230769231,0.951298701298701,0.976689976689977,0.96875,0.994652406417112,0.973262032085562;21;21
Bobach Søren;WOC Sprint Final-Men (MEN);Denmark;1003;0.94498;99,42,48,101,42,38,28,17,11,72,92,42,25,26,100,53,56,41,34,18,18;0.918273645546373,0.945887445887446,0.982954545454545,0.933393339333933,0.945887445887446,0.95933014354067,0.931818181818182,0.823529411764706,0.966942148760331,0.946969696969697,0.975296442687747,0.976190476190476,0.909090909090909,0.888111888111888,0.972727272727273,0.962264150943396,0.951298701298701,0.929046563192905,0.911764705882353,0.939393939393939,0.919191919191919;21;21
Král Vojtech;WOC Sprint Final-Men (MEN);Czech Republic;1005;0.94310;107,41,50,97,41,37,27,14,12,69,96,43,24,24,104,57,56,40,32,17,17;0.849617672047579,0.968957871396896,0.943636363636364,0.971883786316776,0.968957871396896,0.985257985257985,0.966329966329966,1,0.886363636363636,0.988142292490119,0.934659090909091,0.953488372093023,0.946969696969697,0.962121212121212,0.935314685314685,0.894736842105263,0.951298701298701,0.952272727272727,0.96875,0.994652406417112,0.973262032085562;21;21
