Kovacs Adam;WOC Sprint Qualification-Men (MEN*Q:1);Hungary;831;0.98881;49,42,36,27,45,13,33,61,93,38,20,75,74,37,103,46,28,11;0.997959183673469,1.00238095238095,0.919444444444445,0.988888888888889,0.948888888888889,1.05384615384615,0.945454545454545,0.995081967213115,0.93010752688172,1.03684210526316,0.95,1.01333333333333,0.959459459459459,1.01891891891892,1.05533980582524,1.00869565217391,0.996428571428571,0.909090909090909;18;18
Kyburz Matthias;WOC Sprint Qualification-Men (MEN*Q:1);Switzerland;833;0.98643;46,43,34,27,42,14,31,59,85,39,19,86,72,41,108,47,29,11;1.06304347826087,0.97906976744186,0.973529411764706,0.988888888888889,1.01666666666667,0.978571428571429,1.00645161290323,1.02881355932203,1.01764705882353,1.01025641025641,1,0.883720930232558,0.986111111111111,0.919512195121951,1.00648148148148,0.987234042553191,0.962068965517241,0.909090909090909;18;18
Lysell Jerker;WOC Sprint Qualification-Men (MEN*Q:1);Sweden;835;0.98407;50,42,33,28,43,13,32,59,89,39,19,77,70,43,111,46,30,11;0.978,1.00238095238095,1.0030303030303,0.953571428571429,0.993023255813954,1.05384615384615,0.975,1.02881355932203,0.971910112359551,1.01025641025641,1,0.987012987012987,1.01428571428571,0.876744186046512,0.979279279279279,1.00869565217391,0.93,0.909090909090909;18;18
Strain Murray;WOC Sprint Qualification-Men (MEN*Q:1);Great Britain;836;0.98289;62,42,34,26,43,14,32,61,86,41,18,76,72,37,107,46,28,11;0.788709677419355,1.00238095238095,0.973529411764706,1.02692307692308,0.993023255813954,0.978571428571429,0.975,0.995081967213115,1.00581395348837,0.960975609756098,1.05555555555556,1,0.986111111111111,1.01891891891892,1.01588785046729,1.00869565217391,0.996428571428571,0.909090909090909;18;18
Mäkelä Tuomo;WOC Sprint Qualification-Men (MEN*Q:1);Finland;840;0.97821;50,43,34,27,45,14,31,63,80,41,28,74,70,49,105,46,29,11;0.978,0.97906976744186,0.973529411764706,0.988888888888889,0.948888888888889,0.978571428571429,1.00645161290323,0.963492063492064,1.08125,0.960975609756098,0.678571428571429,1.02702702702703,1.01428571428571,0.769387755102041,1.0352380952381,1.00869565217391,0.962068965517241,0.909090909090909;18;18
Dent Julian;WOC Sprint Qualification-Men (MEN*Q:1);Australia;843;0.97473;48,40,32,28,43,14,30,63,88,41,19,76,79,39,113,50,30,10;1.01875,1.0525,1.034375,0.953571428571429,0.993023255813954,0.978571428571429,1.04,0.963492063492064,0.982954545454545,0.960975609756098,1,1,0.89873417721519,0.966666666666667,0.961946902654867,0.928,0.93,1;18;18
Coupat Vincent;WOC Sprint Qualification-Men (MEN*Q:1);France;845;0.97243;54,44,33,28,45,15,32,63,88,40,19,77,71,39,111,48,28,10;0.905555555555556,0.956818181818182,1.0030303030303,0.953571428571429,0.948888888888889,0.913333333333333,0.975,0.963492063492064,0.982954545454545,0.985,1,0.987012987012987,1,0.966666666666667,0.979279279279279,0.966666666666667,0.996428571428571,1;18;18
Kamenarov Ivaylo;WOC Sprint Qualification-Men (MEN*Q:1);Bulgaria;853;0.96331;53,43,33,27,43,14,31,62,89,39,20,78,76,38,117,51,29,10;0.922641509433962,0.97906976744186,1.0030303030303,0.988888888888889,0.993023255813954,0.978571428571429,1.00645161290323,0.979032258064516,0.971910112359551,1.01025641025641,0.95,0.974358974358974,0.934210526315789,0.992105263157895,0.929059829059829,0.909803921568627,0.962068965517241,1;18;18
Krüger Robert;WOC Sprint Qualification-Men (MEN*Q:1);Germany;854;0.96218;52,44,33,27,48,14,33,63,90,40,20,78,72,38,113,49,30,10;0.940384615384615,0.956818181818182,1.0030303030303,0.988888888888889,0.889583333333333,0.978571428571429,0.945454545454545,0.963492063492064,0.961111111111111,0.985,0.95,0.974358974358974,0.986111111111111,0.992105263157895,0.961946902654867,0.946938775510204,0.93,1;18;18
Merl Robert;WOC Sprint Qualification-Men (MEN*Q:1);Austria;854;0.96218;56,43,34,27,43,14,32,62,91,42,21,76,73,38,112,49,30,11;0.873214285714286,0.97906976744186,0.973529411764706,0.988888888888889,0.993023255813954,0.978571428571429,0.975,0.979032258064516,0.950549450549451,0.938095238095238,0.904761904761905,1,0.972602739726027,0.992105263157895,0.970535714285714,0.946938775510204,0.93,0.909090909090909;18;18
