Lundanes Olav;WOC Long Qualification-Men (MEN*Q:1);Norway;3543;1.02233;316,96,98,212,62,290,159,86,56,26,270,119,44,80,386,82,411,32,138,180,92,86,159,22,41;1.00210970464135,0.972222222222222,1.08843537414966,0.930817610062893,1.03046594982079,1.01149425287356,1.02375960866527,0.997416020671835,1.14285714285714,1.04273504273504,1.09053497942387,0.971055088702148,1.0479797979798,1.04444444444444,0.994530800230282,0.989159891598916,1.03703703703704,0.958333333333333,1.05716586151369,1.08827160493827,1.05072463768116,1.03488372093023,1.05939902166317,0.929292929292929,0.813008130081301;25;25
Tsvetkov Dmitriy;WOC Long Qualification-Men (MEN*Q:1);Russia;3673;0.98615;329,96,103,192,64,290,167,86,70,27,288,109,49,77,382,74,426,34,172,197,96,110,177,23,35;0.962512664640324,0.972222222222222,1.03559870550162,1.02777777777778,0.998263888888889,1.01149425287356,0.974717232202262,0.997416020671835,0.914285714285714,1.00411522633745,1.02237654320988,1.06014271151886,0.941043083900227,1.08513708513709,1.00494473531123,1.0960960960961,1.00052164840897,0.901960784313726,0.848191214470284,0.994359842075578,1.00694444444444,0.809090909090909,0.951663527934714,0.888888888888889,0.952380952380952;25;25
Hertner Fabian;WOC Long Qualification-Men (MEN*Q:1);Switzerland;3683;0.98347;332,93,111,185,64,292,153,109,66,28,290,112,44,85,396,93,425,30,159,197,100,86,176,20,37;0.953815261044177,1.00358422939068,0.960960960960961,1.06666666666667,0.998263888888889,1.00456621004566,1.0639070442992,0.786952089704383,0.96969696969697,0.968253968253968,1.01532567049808,1.03174603174603,1.0479797979798,0.983006535947712,0.969416386083053,0.872162485065711,1.00287581699346,1.02222222222222,0.917540181691125,0.994359842075578,0.966666666666667,1.03488372093023,0.957070707070707,1.02222222222222,0.900900900900901;25;25
Kerschbaumer Gernot;WOC Long Qualification-Men (MEN*Q:1);Austria;3740;0.96848;313,96,108,193,67,312,166,82,63,27,323,123,46,88,411,78,430,30,177,200,96,89,167,20,35;1.01171458998935,0.972222222222222,0.987654320987654,1.02245250431779,0.953565505804312,0.94017094017094,0.980589022757697,1.04607046070461,1.01587301587302,1.00411522633745,0.911592707258342,0.939476061427281,1.0024154589372,0.94949494949495,0.934036226007029,1.03988603988604,0.991214470284238,1.02222222222222,0.824231010671689,0.979444444444444,1.00694444444444,1,1.00864936793081,1.02222222222222,0.952380952380952;25;25
Lassen Tue;WOC Long Qualification-Men (MEN*Q:1);Denmark;3762;0.96282;304,94,104,207,65,334,166,109,65,26,289,119,50,84,410,118,430,32,140,199,98,90,170,22,37;1.04166666666667,0.99290780141844,1.02564102564103,0.953301127214171,0.982905982905983,0.878243512974052,0.980589022757697,0.786952089704383,0.984615384615385,1.04273504273504,1.01883890811226,0.971055088702148,0.922222222222222,0.994708994708995,0.936314363143631,0.687382297551789,0.991214470284238,0.958333333333333,1.04206349206349,0.984366275823562,0.986394557823129,0.988888888888889,0.990849673202614,0.929292929292929,0.900900900900901;25;25
Mamleev Mikhail;WOC Long Qualification-Men (MEN*Q:1);Italy;3778;0.95874;313,91,131,223,71,288,162,82,74,29,312,128,49,99,438,83,418,32,149,194,95,88,169,21,39;1.01171458998935,1.02564102564103,0.814249363867685,0.884902840059791,0.899843505477308,1.01851851851852,1.00480109739369,1.04607046070461,0.864864864864865,0.934865900383142,0.943732193732194,0.902777777777778,0.941043083900227,0.843995510662177,0.876458650431253,0.977242302543507,1.01967038809144,0.958333333333333,0.979120059656972,1.00973654066438,1.01754385964912,1.01136363636364,0.996712689020381,0.973544973544973,0.854700854700855;25;25
Dent Julian;WOC Long Qualification-Men (MEN*Q:1);Australia;3875;0.93474;353,103,115,206,65,311,165,84,68,28,312,125,59,94,398,86,441,31,145,201,103,137,188,21,36;0.897072710103872,0.906148867313916,0.927536231884058,0.957928802588997,0.982905982905983,0.943193997856377,0.986531986531986,1.02116402116402,0.941176470588235,0.968253968253968,0.943732193732194,0.924444444444444,0.781544256120527,0.888888888888889,0.964544946957007,0.943152454780362,0.966490299823633,0.989247311827957,1.00613026819923,0.974571586511885,0.938511326860841,0.64963503649635,0.895981087470449,0.973544973544973,0.925925925925926;25;25
Portin Fredric;WOC Long Qualification-Men (MEN*Q:1);Finland;3894;0.93018;314,98,154,232,70,292,166,88,63,29,317,127,45,84,399,112,462,36,154,214,99,96,187,23,33;1.00849256900212,0.952380952380952,0.692640692640693,0.850574712643678,0.912698412698413,1.00456621004566,0.980589022757697,0.974747474747475,1.01587301587302,0.934865900383142,0.928846827900456,0.909886264216973,1.02469135802469,0.994708994708995,0.96212754107491,0.724206349206349,0.922558922558923,0.851851851851852,0.947330447330447,0.915368639667705,0.976430976430976,0.927083333333333,0.900772430184195,0.888888888888889,1.01010101010101;25;25
Bergman Gustav;WOC Long Qualification-Men (MEN*Q:1);Sweden;3902;0.92827;382,105,110,202,79,315,185,90,73,28,312,125,54,89,388,78,441,39,162,208,102,97,171,24,43;0.828970331588133,0.888888888888889,0.96969696969697,0.976897689768977,0.808720112517581,0.931216931216931,0.87987987987988,0.953086419753086,0.876712328767123,0.968253968253968,0.943732193732194,0.924444444444444,0.853909465020576,0.938826466916355,0.989404352806415,1.03988603988604,0.966490299823633,0.786324786324786,0.900548696844993,0.941773504273504,0.947712418300654,0.917525773195876,0.985055230669266,0.851851851851852,0.775193798449612;25;25
Pihl Peeter;WOC Long Qualification-Men (MEN*Q:1);Estonia;3915;0.92519;330,96,111,220,66,315,169,91,66,28,315,135,49,86,405,99,494,32,158,209,101,108,175,20,37;0.95959595959596,0.972222222222222,0.960960960960961,0.896969696969697,0.968013468013468,0.931216931216931,0.963182117028271,0.942612942612943,0.96969696969697,0.968253968253968,0.934744268077601,0.8559670781893,0.941043083900227,0.971576227390181,0.947873799725652,0.819304152637486,0.862798020692758,0.958333333333333,0.923347398030942,0.937267410951621,0.957095709570957,0.824074074074074,0.962539682539683,1.02222222222222,0.900900900900901;25;25
