 Niclas Jonasson;WOC 2004 Sprint Final-Men Final;Sweden;786;0.98103;73,90,61,45,37,137,73,25,92,51,77,9,16;0.978829389788294,0.987878787878788,0.873323397913562,0.981818181818182,0.975429975429975,1.0557398805574,0.909090909090909,1.01818181818182,0.987154150197628,0.918003565062389,1.01298701298701,1.15151515151515,0.920454545454545;13;13
 Håkan Eriksson;WOC 2004 Sprint Final-Men Final;Sweden;789;0.97730;74,87,57,43,37,150,64,28,91,50,81,10,17;0.965601965601966,1.02194357366771,0.934609250398724,1.02748414376321,0.975429975429975,0.964242424242424,1.03693181818182,0.909090909090909,0.998001998001998,0.936363636363636,0.962962962962963,1.03636363636364,0.866310160427807;13;13
 Yuri Omeltchenko;WOC 2004 Sprint Final-Men Final;Ukraine;789;0.97730;73,93,54,49,38,148,68,25,88,47,78,12,16;0.978829389788294,0.956011730205279,0.986531986531987,0.901669758812616,0.949760765550239,0.977272727272727,0.975935828877005,1.01818181818182,1.03202479338843,0.996131528046422,1,0.863636363636364,0.920454545454545;13;13
 Johan Näsman;WOC 2004 Sprint Final-Men Final;Sweden;789;0.97730;74,89,55,45,35,143,68,26,93,52,81,11,17;0.965601965601966,0.998978549540347,0.968595041322314,0.981818181818182,1.03116883116883,1.01144310235219,0.975935828877005,0.979020979020979,0.976539589442815,0.90034965034965,0.962962962962963,0.942148760330578,0.866310160427807;13;13
 Thierry Gueorgiou;WOC 2004 Sprint Final-Men Final;France;790;0.97606;71,94,54,43,37,153,65,28,91,53,76,10,15;1.00640204865557,0.945841392649903,0.986531986531987,1.02748414376321,0.975429975429975,0.945335710041592,1.02097902097902,0.909090909090909,0.998001998001998,0.88336192109777,1.02631578947368,1.03636363636364,0.981818181818182;13;13
 Øystein Kvaal Østerb;WOC 2004 Sprint Final-Men Final;Norway;794;0.97115;72,88,57,45,44,145,72,25,91,47,82,11,15;0.992424242424242,1.0103305785124,0.934609250398724,0.981818181818182,0.820247933884298,0.997492163009404,0.921717171717172,1.01818181818182,0.998001998001998,0.996131528046422,0.951219512195122,0.942148760330578,0.981818181818182;13;13
 Jørgen Rostrup;WOC 2004 Sprint Final-Men Final;Norway;803;0.96026;77,93,56,49,34,141,68,26,91,44,96,12,16;0.927981109799292,0.956011730205279,0.951298701298701,0.901669758812616,1.06149732620321,1.02578981302386,0.975935828877005,0.979020979020979,0.998001998001998,1.06404958677686,0.8125,0.863636363636364,0.920454545454545;13;13
 Matthias Merz;WOC 2004 Sprint Final-Men Final;Switzerland;810;0.95196;72,90,60,42,40,150,71,27,96,49,87,11,15;0.992424242424242,0.987878787878788,0.887878787878788,1.05194805194805,0.902272727272727,0.964242424242424,0.934699103713188,0.942760942760943,0.946022727272727,0.955473098330241,0.896551724137931,0.942148760330578,0.981818181818182;13;13
 Daniel Hubmann;WOC 2004 Sprint Final-Men Final;Switzerland;814;0.94729;77,91,61,54,41,146,72,27,95,47,77,11,15;0.927981109799292,0.977022977022977,0.873323397913562,0.818181818181818,0.880266075388027,0.9906600249066,0.921717171717172,0.942760942760943,0.955980861244019,0.996131528046422,1.01298701298701,0.942148760330578,0.981818181818182;13;13
 Simonas Krepsta;WOC 2004 Sprint Final-Men Final;Lithuania;814;0.94729;76,91,58,50,35,163,68,28,91,48,78,12,16;0.940191387559809,0.977022977022977,0.918495297805643,0.883636363636364,1.03116883116883,0.88733965421082,0.975935828877005,0.909090909090909,0.998001998001998,0.975378787878788,1,0.863636363636364,0.920454545454545;13;13
 Anders Nordberg;WOC 2004 Sprint Final-Men Final;Norway;818;0.94265;77,87,62,43,36,143,84,28,95,51,85,10,17;0.927981109799292,1.02194357366771,0.859237536656892,1.02748414376321,1.00252525252525,1.01144310235219,0.79004329004329,0.909090909090909,0.955980861244019,0.918003565062389,0.917647058823529,1.03636363636364,0.866310160427807;13;13
 Mikkel Lund;WOC 2004 Sprint Final-Men Final;Denmark;822;0.93807;79,92,59,46,36,155,77,25,93,51,84,10,15;0.904487917146145,0.966403162055336,0.902927580893683,0.960474308300395,1.00252525252525,0.933137829912023,0.861865407319953,1.01818181818182,0.976539589442815,0.918003565062389,0.928571428571429,1.03636363636364,0.981818181818182;13;13
 Sergey Detkov;WOC 2004 Sprint Final-Men Final;Russia;825;0.93466;71,91,53,50,41,156,70,27,102,49,88,11,16;1.00640204865557,0.977022977022977,1.00514579759863,0.883636363636364,0.880266075388027,0.927156177156177,0.948051948051948,0.942760942760943,0.890374331550802,0.955473098330241,0.886363636363636,0.942148760330578,0.920454545454545;13;13
 Troy De Haas;WOC 2004 Sprint Final-Men Final;Australia;826;0.93352;72,104,53,48,36,150,77,28,101,48,79,11,19;0.992424242424242,0.854895104895105,1.00514579759863,0.920454545454545,1.00252525252525,0.964242424242424,0.861865407319953,0.909090909090909,0.899189918991899,0.975378787878788,0.987341772151899,0.942148760330578,0.77511961722488;13;13
 Misha Mamleev;WOC 2004 Sprint Final-Men Final;Russia;833;0.92568;70,94,54,66,38,156,66,26,114,47,75,11,16;1.02077922077922,0.945841392649903,0.986531986531987,0.669421487603306,0.949760765550239,0.927156177156177,1.00550964187328,0.979020979020979,0.796650717703349,0.996131528046422,1.04,0.942148760330578,0.920454545454545;13;13
 Andrey Khramov;WOC 2004 Sprint Final-Men Final;Russia;837;0.92126;74,89,54,57,40,149,67,26,91,77,86,12,15;0.965601965601966,0.998978549540347,0.986531986531987,0.77511961722488,0.902272727272727,0.970713849908481,0.990502035278155,0.979020979020979,0.998001998001998,0.608028335301063,0.906976744186046,0.863636363636364,0.981818181818182;13;13
 Mårten Boström;WOC 2004 Sprint Final-Men Final;Finland;837;0.92126;98,92,55,58,41,157,65,25,95,49,77,11,14;0.7291280148423,0.966403162055336,0.968595041322314,0.761755485893417,0.880266075388027,0.921250723798494,1.02097902097902,1.01818181818182,0.955980861244019,0.955473098330241,1.01298701298701,0.942148760330578,1.05194805194805;13;13
 Grant Bluett;WOC 2004 Sprint Final-Men Final;Australia;838;0.92016;78,87,60,53,37,155,65,27,118,48,82,11,17;0.916083916083916,1.02194357366771,0.887878787878788,0.833619210977702,0.975429975429975,0.933137829912023,1.02097902097902,0.942760942760943,0.769645608628659,0.975378787878788,0.951219512195122,0.942148760330578,0.866310160427807;13;13
 Petteri Muukkonen;WOC 2004 Sprint Final-Men Final;Finland;844;0.91361;73,91,51,93,57,142,68,27,88,45,81,12,16;0.978829389788294,0.977022977022977,1.0445632798574,0.475073313782991,0.633173843700159,1.01856594110115,0.975935828877005,0.942760942760943,1.03202479338843,1.04040404040404,0.962962962962963,0.863636363636364,0.920454545454545;13;13
 Christian Nielsen;WOC 2004 Sprint Final-Men Final;Denmark;847;0.91038;79,92,60,45,41,171,70,29,101,51,81,11,16;0.904487917146145,0.966403162055336,0.887878787878788,0.981818181818182,0.880266075388027,0.845826687931951,0.948051948051948,0.877742946708464,0.899189918991899,0.918003565062389,0.962962962962963,0.942148760330578,0.920454545454545;13;13
 Marian Davidik;WOC 2004 Sprint Final-Men Final;Slovakia;847;0.91038;75,97,58,49,40,155,72,29,97,55,94,11,15;0.952727272727273,0.916588566073102,0.918495297805643,0.901669758812616,0.902272727272727,0.933137829912023,0.921717171717172,0.877742946708464,0.936269915651359,0.851239669421488,0.829787234042553,0.942148760330578,0.981818181818182;13;13
 David Brickhill-Jone;WOC 2004 Sprint Final-Men Final;Australia;849;0.90823;70,92,58,48,41,162,68,26,116,60,82,11,15;1.02077922077922,0.966403162055336,0.918495297805643,0.920454545454545,0.880266075388027,0.892817059483726,0.975935828877005,0.979020979020979,0.782915360501567,0.78030303030303,0.951219512195122,0.942148760330578,0.981818181818182;13;13
