Jansson Helena;EOC 2012 Sprint - Qualification-Women Qual-1;Sweden;883;1.03171;36,29,80,24,19,184,91,46,44,25,30,103,38,34,42,42,16;1.00462962962963,1.07471264367816,1.01666666666667,1.02083333333333,1.06140350877193,1.06702898550725,1.04761904761905,0.996376811594203,1,1.02,1.01111111111111,1.03074433656958,1.05701754385965,1.02941176470588,1.03968253968254,0.996031746031746,0.84375;17;17
Brodmann Ines;EOC 2012 Sprint - Qualification-Women Qual-1;Switzerland;913;0.99781;43,31,90,24,22,190,92,46,42,25,30,106,40,34,44,41,13;0.841085271317829,1.00537634408602,0.903703703703704,1.02083333333333,0.916666666666667,1.03333333333333,1.03623188405797,0.996376811594203,1.04761904761905,1.02,1.01111111111111,1.00157232704403,1.00416666666667,1.02941176470588,0.992424242424242,1.02032520325203,1.03846153846154;17;17
Friederich Rahel;EOC 2012 Sprint - Qualification-Women Qual-1;Switzerland;952;0.95693;37,36,88,29,20,195,104,53,48,28,30,107,40,36,44,43,14;0.977477477477477,0.865740740740741,0.924242424242424,0.844827586206897,1.00833333333333,1.00683760683761,0.916666666666667,0.864779874213837,0.916666666666667,0.910714285714286,1.01111111111111,0.992211838006231,1.00416666666667,0.972222222222222,0.992424242424242,0.972868217054264,0.964285714285714;17;17
Rollins Sarah;EOC 2012 Sprint - Qualification-Women Qual-1;Great Britain;960;0.94896;39,34,90,25,22,204,100,47,45,25,33,109,42,37,47,43,18;0.927350427350427,0.916666666666667,0.903703703703704,0.98,0.916666666666667,0.962418300653595,0.953333333333333,0.975177304964539,0.977777777777778,1.02,0.919191919191919,0.974006116207951,0.956349206349206,0.945945945945946,0.929078014184397,0.972868217054264,0.75;17;17
Jahren Silje Ekroll;EOC 2012 Sprint - Qualification-Women Qual-1;Norway;961;0.94797;39,31,87,28,23,207,98,47,45,26,33,110,43,35,50,45,14;0.927350427350427,1.00537634408602,0.934865900383142,0.875,0.876811594202899,0.948470209339775,0.972789115646258,0.975177304964539,0.977777777777778,0.980769230769231,0.919191919191919,0.965151515151515,0.934108527131783,1,0.873333333333333,0.92962962962963,0.964285714285714;17;17
Gustafsson Annica;EOC 2012 Sprint - Qualification-Women Qual-1;Sweden;963;0.94600;37,33,85,26,22,205,100,49,44,26,33,112,44,36,45,50,16;0.977477477477477,0.944444444444445,0.956862745098039,0.942307692307692,0.916666666666667,0.957723577235772,0.953333333333333,0.935374149659864,1,0.980769230769231,0.919191919191919,0.947916666666667,0.912878787878788,0.972222222222222,0.97037037037037,0.836666666666667,0.84375;17;17
Mironova Svetlana;EOC 2012 Sprint - Qualification-Women Qual-1;Russia;964;0.94502;42,34,83,33,22,222,96,44,44,26,31,104,39,38,43,51,12;0.861111111111111,0.916666666666667,0.979919678714859,0.742424242424242,0.916666666666667,0.884384384384384,0.993055555555555,1.04166666666667,1,0.980769230769231,0.978494623655914,1.02083333333333,1.02991452991453,0.921052631578947,1.01550387596899,0.820261437908497,1.125;17;17
Teini Marika;EOC 2012 Sprint - Qualification-Women Qual-1;Finland;973;0.93628;39,37,81,24,20,223,99,48,46,26,32,110,45,39,45,43,16;0.927350427350427,0.842342342342342,1.00411522633745,1.02083333333333,1.00833333333333,0.880418535127055,0.962962962962963,0.954861111111111,0.956521739130435,0.980769230769231,0.947916666666667,0.965151515151515,0.892592592592592,0.897435897435897,0.97037037037037,0.972868217054264,0.84375;17;17
Sund Gøril Rønning;EOC 2012 Sprint - Qualification-Women Qual-1;Norway;979;0.93054;59,34,87,25,23,203,96,45,45,28,30,112,42,35,48,51,16;0.612994350282486,0.916666666666667,0.934865900383142,0.98,0.876811594202899,0.967159277504105,0.993055555555555,1.01851851851852,0.977777777777778,0.910714285714286,1.01111111111111,0.947916666666667,0.956349206349206,1,0.909722222222222,0.820261437908497,0.84375;17;17
Shandurkova Iliana;EOC 2012 Sprint - Qualification-Women Qual-1;Bulgaria;981;0.92864;41,31,85,26,21,202,101,47,50,27,35,116,45,39,48,52,15;0.882113821138211,1.00537634408602,0.956862745098039,0.942307692307692,0.96031746031746,0.971947194719472,0.943894389438944,0.975177304964539,0.88,0.944444444444444,0.866666666666667,0.915229885057471,0.892592592592592,0.897435897435897,0.909722222222222,0.80448717948718,0.9;17;17
Rieznychenko Olga;EOC 2012 Sprint - Qualification-Women Qual-1;Ukraine;992;0.91835;40,38,93,30,21,213,107,48,45,29,33,108,44,41,46,41,15;0.904166666666667,0.820175438596491,0.874551971326165,0.816666666666667,0.96031746031746,0.921752738654147,0.890965732087227,0.954861111111111,0.977777777777778,0.879310344827586,0.919191919191919,0.983024691358025,0.912878787878788,0.853658536585366,0.949275362318841,1.02032520325203,0.9;17;17
Vercellotti Léa;EOC 2012 Sprint - Qualification-Women Qual-1;France;994;0.91650;35,49,80,25,22,206,105,53,49,27,35,117,43,40,47,46,15;1.03333333333333,0.636054421768708,1.01666666666667,0.98,0.916666666666667,0.953074433656958,0.907936507936508,0.864779874213837,0.897959183673469,0.944444444444444,0.866666666666667,0.907407407407407,0.934108527131783,0.875,0.929078014184397,0.909420289855073,0.9;17;17
Knapova Jana;EOC 2012 Sprint - Qualification-Women Qual-1;Czech republic;995;0.91558;38,40,83,31,22,206,100,47,50,28,33,117,49,39,46,50,16;0.951754385964912,0.779166666666667,0.979919678714859,0.790322580645161,0.916666666666667,0.953074433656958,0.953333333333333,0.975177304964539,0.88,0.910714285714286,0.919191919191919,0.907407407407407,0.819727891156462,0.897435897435897,0.949275362318841,0.836666666666667,0.84375;17;17
Potapenko Anastasia;EOC 2012 Sprint - Qualification-Women Qual-1;Russia;1002;0.90918;42,37,82,27,24,215,102,50,50,27,34,111,54,40,46,46,15;0.861111111111111,0.842342342342342,0.991869918699187,0.907407407407407,0.840277777777778,0.913178294573643,0.934640522875817,0.916666666666667,0.88,0.944444444444444,0.892156862745098,0.956456456456456,0.743827160493827,0.875,0.949275362318841,0.909420289855073,0.9;17;17
Hallquist Michaela;EOC 2012 Sprint - Qualification-Women Qual-1;Sweden;1019;0.89401;34,44,82,31,22,232,112,51,50,26,31,117,44,39,44,45,15;1.06372549019608,0.708333333333333,0.991869918699187,0.790322580645161,0.916666666666667,0.846264367816092,0.851190476190476,0.898692810457516,0.88,0.980769230769231,0.978494623655914,0.907407407407407,0.912878787878788,0.897435897435897,0.992424242424242,0.92962962962963,0.9;17;17
Bochenkova Ivana;EOC 2012 Sprint - Qualification-Women Qual-1;Czech republic;1021;0.89226;39,36,95,31,20,226,104,48,50,29,35,118,45,42,47,41,15;0.927350427350427,0.865740740740741,0.856140350877193,0.790322580645161,1.00833333333333,0.868731563421829,0.916666666666667,0.954861111111111,0.88,0.879310344827586,0.866666666666667,0.899717514124294,0.892592592592592,0.833333333333333,0.929078014184397,1.02032520325203,0.9;17;17
