Gueorgiou Thierry;WOC Middle Qualification-Men (MEN*Q:1);France;1756;1.03741;82,168,230,162,226,187,36,92,99,90,104,99,64,44,29,44;1.09512195121951,1.00357142857143,1.09130434782609,0.996296296296296,0.995575221238938,1.05401069518717,1.025,0.969565217391304,1.14040404040404,1.02,1.05673076923077,1.10707070707071,1.015625,0.984090909090909,0.972413793103448,0.954545454545455;16;16
Lundanes Olav;WOC Middle Qualification-Men (MEN*Q:1);Norway;1810;1.00646;85,169,256,165,220,189,38,82,131,88,105,100,63,45,31,43;1.05647058823529,0.997633136094675,0.98046875,0.978181818181818,1.02272727272727,1.04285714285714,0.971052631578947,1.08780487804878,0.861832061068702,1.04318181818182,1.04666666666667,1.096,1.03174603174603,0.962222222222222,0.909677419354839,0.976744186046512;16;16
Basset Lucas;WOC Middle Qualification-Men (MEN*Q:1);France;1895;0.96132;93,168,255,179,235,197,41,91,115,88,109,134,72,42,32,44;0.965591397849462,1.00357142857143,0.984313725490196,0.901675977653631,0.957446808510638,1.0005076142132,0.9,0.98021978021978,0.981739130434783,1.04318181818182,1.00825688073394,0.817910447761194,0.902777777777778,1.03095238095238,0.88125,0.954545454545455;16;16
Král Vojtech;WOC Middle Qualification-Men (MEN*Q:1);Czech Republic;1908;0.95477;95,171,258,182,221,209,33,90,126,106,111,113,77,42,30,44;0.945263157894737,0.985964912280702,0.972868217054264,0.886813186813187,1.01809954751131,0.943062200956938,1.11818181818182,0.991111111111111,0.896031746031746,0.866037735849057,0.99009009009009,0.969911504424779,0.844155844155844,1.03095238095238,0.94,0.954545454545455;16;16
Bobach Søren;WOC Middle Qualification-Men (MEN*Q:1);Denmark;1925;0.94634;89,172,266,178,228,201,38,94,124,118,109,118,69,44,32,45;1.00898876404494,0.980232558139535,0.943609022556391,0.906741573033708,0.986842105263158,0.980597014925373,0.971052631578947,0.948936170212766,0.910483870967742,0.777966101694915,1.00825688073394,0.928813559322034,0.942028985507246,0.984090909090909,0.88125,0.933333333333333;16;16
Rollier Baptiste;WOC Middle Qualification-Men (MEN*Q:1);Switzerland;1936;0.94096;127,162,259,163,229,207,57,94,119,98,115,117,73,42,29,45;0.707086614173228,1.04074074074074,0.969111969111969,0.990184049079755,0.982532751091703,0.952173913043478,0.647368421052632,0.948936170212766,0.948739495798319,0.936734693877551,0.955652173913044,0.936752136752137,0.89041095890411,1.03095238095238,0.972413793103448,0.933333333333333;16;16
Kratov Oleksandr;WOC Middle Qualification-Men (MEN*Q:1);Ukraine;1940;0.93902;101,175,298,160,236,206,38,91,105,90,136,107,62,52,32,51;0.889108910891089,0.963428571428571,0.842281879194631,1.00875,0.953389830508475,0.956796116504854,0.971052631578947,0.98021978021978,1.0752380952381,1.02,0.808088235294118,1.02429906542056,1.04838709677419,0.832692307692308,0.88125,0.823529411764706;16;16
Sirmais Martins;WOC Middle Qualification-Men (MEN*Q:1);Latvia;1989;0.91589;103,166,237,190,259,230,43,87,125,101,133,121,76,46,30,42;0.871844660194175,1.01566265060241,1.05907172995781,0.849473684210526,0.868725868725869,0.85695652173913,0.858139534883721,1.02528735632184,0.9032,0.908910891089109,0.826315789473684,0.905785123966942,0.855263157894737,0.941304347826087,0.94,1;16;16
Matjaž Štanfel;WOC Middle Qualification-Men (MEN*Q:1);Croatia;1995;0.91313;98,170,246,226,228,196,41,91,146,128,133,107,69,45,30,41;0.916326530612245,0.991764705882353,1.02032520325203,0.714159292035398,0.986842105263158,1.00561224489796,0.9,0.98021978021978,0.773287671232877,0.7171875,0.826315789473684,1.02429906542056,0.942028985507246,0.962222222222222,0.94,1.02439024390244;16;16
Huovila Jarkko;WOC Middle Qualification-Men (MEN*Q:1);Finland;2043;0.89168;122,181,271,165,230,223,42,100,191,97,105,126,67,51,29,43;0.736065573770492,0.931491712707182,0.92619926199262,0.978181818181818,0.978260869565217,0.883856502242152,0.878571428571429,0.892,0.591099476439791,0.94639175257732,1.04666666666667,0.86984126984127,0.970149253731343,0.849019607843137,0.972413793103448,0.976744186046512;16;16
