 Bjørnar Valstad;WOC 2004 Long Distance Final-Men Final;Norway;6325;0.99116;135,699,107,1002,38,229,54,685,62,258,69,97,45,62,45,41,45,1293,80,268,73,29,390,73,38,143,184,29,52;1.01279461279461,1.00806346729093,1.02039082412914,1.01188532026855,0.933014354066986,0.949583167923779,1.02020202020202,1.00464499004645,0.936950146627566,1.01832276250881,0.967061923583663,0.521087160262418,0.955555555555556,0.705278592375367,1.05050505050505,1.03547671840355,0.987878787878788,0.990508331575617,1.09772727272727,1.02781546811398,1.04732254047323,1.0564263322884,0.922610722610723,1.07596513075965,1.03588516746411,1.03814367450731,1.03063241106719,1.07836990595611,0.986013986013986;29;29
 Mattias Karlsson;WOC 2004 Long Distance Final-Men Final;Sweden;6357;0.98617;138,717,115,1037,38,210,61,697,57,265,72,46,46,48,82,47,68,1256,93,281,82,29,344,84,38,142,182,32,50;0.990777338603426,0.98275643463928,0.949407114624506,0.97773297098273,0.933014354066986,1.03549783549784,0.903129657228018,0.987348376157558,1.01913875598086,0.991423670668954,0.926767676767677,1.09881422924901,0.934782608695652,0.910984848484849,0.57649667405765,0.903288201160542,0.653743315508021,1.01968731905038,0.944281524926686,0.980265286315108,0.932372505543237,1.0564263322884,1.04598308668076,0.935064935064935,1.03588516746411,1.04545454545455,1.04195804195804,0.977272727272727,1.02545454545455;29;29
 Holger Hott Johansen;WOC 2004 Long Distance Final-Men Final;Norway;6420;0.97649;140,738,110,1007,34,215,52,687,82,266,67,135,46,61,41,39,42,1270,85,265,75,34,371,83,38,152,204,29,52;0.976623376623377,0.954791820645479,0.992561983471074,1.00686106346484,1.0427807486631,1.01141649048626,1.05944055944056,1.00172025936218,0.708425720620843,0.987696514012304,0.995929443690638,0.374410774410774,0.934782608695652,0.716840536512668,1.1529933481153,1.08857808857809,1.05844155844156,1.0084466714388,1.0331550802139,1.03945111492281,1.01939393939394,0.901069518716578,0.969860328350894,0.946330777656079,1.03588516746411,0.976674641148325,0.929590017825312,1.07836990595611,0.986013986013986;29;29
 Valentin Novikov;WOC 2004 Long Distance Final-Men Final;Russia;6468;0.96925;141,675,99,1006,36,216,63,736,75,270,68,47,40,39,90,52,72,1262,98,304,79,34,396,80,40,167,187,32,64;0.96969696969697,1.04390572390572,1.10284664830119,1.00786191939273,0.984848484848485,1.00673400673401,0.874458874458874,0.935029644268775,0.774545454545455,0.973063973063973,0.981283422459893,1.07543520309478,1.075,1.12121212121212,0.525252525252525,0.816433566433566,0.617424242424242,1.01483936032272,0.896103896103896,0.9061004784689,0.967779056386651,0.901069518716578,0.908631772268136,0.981818181818182,0.984090909090909,0.888949373979314,1.01409820126398,0.977272727272727,0.801136363636364;29;29
 Emil Wingstedt;WOC 2004 Long Distance Final-Men Final;Sweden;6511;0.96285;140,693,111,1013,39,226,56,698,112,342,66,96,54,69,59,40,47,1307,87,277,78,34,338,80,42,146,181,29,51;0.976623376623377,1.01679128951856,0.983619983619984,1.000897424392,0.909090909090909,0.962188254223653,0.983766233766234,0.985933836936702,0.518668831168831,0.768208399787347,1.01101928374656,0.526515151515151,0.796296296296296,0.633728590250329,0.801232665639445,1.06136363636364,0.945841392649903,0.979898448911456,1.00940438871473,0.99442074171316,0.98018648018648,0.901069518716578,1.0645508337816,0.981818181818182,0.937229437229437,1.01681195516812,1.047714716223,1.07836990595611,1.00534759358289;29;29
 Mats Haldin;WOC 2004 Long Distance Final-Men Final;Finland;6557;0.95609;130,878,107,1029,34,211,58,670,59,302,63,130,48,69,44,40,54,1233,96,273,77,33,350,79,41,186,182,31,50;1.05174825174825,0.802547111203148,1.02039082412914,0.985334393497659,1.0427807486631,1.03059026281775,0.949843260188088,1.02713704206242,0.984591679506934,0.869957856712824,1.05916305916306,0.388811188811189,0.895833333333333,0.633728590250329,1.07438016528926,1.06136363636364,0.823232323232323,1.03870825038708,0.914772727272727,1.00899100899101,0.992916174734357,0.928374655647383,1.02805194805195,0.994246260069045,0.960088691796009,0.798142717497556,1.04195804195804,1.00879765395894,1.02545454545455;29;29
 Pasi Ikonen;WOC 2004 Long Distance Final-Men Final;Finland;6574;0.95362;139,732,107,978,33,220,56,669,88,244,72,56,42,47,112,48,65,1400,89,293,74,32,404,79,43,158,205,33,56;0.983649444081099,0.962617983109786,1.02039082412914,1.03671686187024,1.07438016528926,0.988429752066116,0.983766233766234,1.02867237396385,0.660123966942149,1.07675111773472,0.926767676767677,0.902597402597403,1.02380952380952,0.93036750483559,0.422077922077922,0.884469696969697,0.683916083916084,0.914805194805195,0.986721144024515,0.94011790257524,1.03316953316953,0.957386363636364,0.890639063906391,0.994246260069045,0.915433403805497,0.939585730724971,0.925055432372506,0.947658402203857,0.915584415584416;29;29
 Jamie Stevenson;WOC 2004 Long Distance Final-Men Final;Great Britain;6632;0.94528;152,712,120,1093,39,228,55,697,105,349,68,59,45,44,90,50,64,1300,97,280,81,34,342,78,43,139,186,31,51;0.899521531100478,0.989657814096016,0.909848484848485,0.92763869250603,0.909090909090909,0.953748006379585,1.00165289256198,0.987348376157558,0.553246753246753,0.752800208387601,0.981283422459893,0.856702619414484,0.955555555555556,0.993801652892562,0.525252525252525,0.849090909090909,0.694602272727273,0.985174825174825,0.905342080599812,0.983766233766234,0.943883277216611,0.901069518716578,1.05209994683679,1.00699300699301,0.915433403805497,1.06801831262263,1.01955034213099,1.00879765395894,1.00534759358289;29;29
 Hans Gunnar Omdal;WOC 2004 Long Distance Final-Men Final;Norway;6636;0.94471;136,725,156,1040,39,230,58,673,65,274,70,116,53,75,51,40,46,1349,84,276,73,29,399,75,39,154,221,33,57;1.00534759358289,0.971912225705329,0.69988344988345,0.974912587412587,0.909090909090909,0.945454545454546,0.949843260188088,1.02255842226125,0.893706293706294,0.958858659588587,0.953246753246753,0.435736677115987,0.811320754716981,0.583030303030303,0.926916221033868,1.06136363636364,0.966403162055336,0.949390120628075,1.04545454545455,0.99802371541502,1.04732254047323,1.0564263322884,0.901799954431533,1.04727272727273,1.00932400932401,0.963990554899646,0.858083093377211,0.947658402203857,0.899521531100478;29;29
 Jani Lakanen;WOC 2004 Long Distance Final-Men Final;Finland;6703;0.93527;134,684,117,1054,36,225,57,789,83,288,59,55,46,63,91,50,64,1273,93,275,87,34,421,85,43,180,220,36,61;1.02035278154681,1.03017012227539,0.933177933177933,0.961963084353976,0.984848484848485,0.966464646464646,0.966507177033493,0.872220301878097,0.699890470974808,0.912247474747475,1.13097072419106,0.91900826446281,0.934782608695652,0.694083694083694,0.51948051948052,0.849090909090909,0.694602272727273,1.00607012782975,0.944281524926686,1.00165289256198,0.878787878787879,0.901069518716578,0.854675016195206,0.924064171122995,0.915433403805497,0.824747474747475,0.86198347107438,0.868686868686869,0.84053651266766;29;29
 Troels Nielsen;WOC 2004 Long Distance Final-Men Final;Denmark;6795;0.92260;148,737,124,1026,36,224,61,798,138,270,72,62,43,39,81,45,68,1364,111,278,89,31,389,82,39,151,201,33,55;0.923832923832924,0.956087331935364,0.88049853372434,0.988215488215488,0.984848484848485,0.970779220779221,0.903129657228018,0.862383230804283,0.420948616600791,0.973063973063973,0.926767676767677,0.81524926686217,1,1.12121212121212,0.58361391694725,0.943434343434343,0.653743315508021,0.938949613436417,0.791154791154791,0.990843688685415,0.859039836567926,0.988269794721408,0.924982472540313,0.957871396895787,1.00932400932401,0.98314268512944,0.943464495703302,0.947658402203857,0.932231404958678;29;29
 Olle Kärner;WOC 2004 Long Distance Final-Men Final;Estonia;6800;0.92193;142,712,126,1028,38,217,62,801,62,389,70,130,51,73,54,46,62,1298,95,296,91,32,355,81,41,171,191,33,53;0.962868117797695,0.989657814096016,0.866522366522367,0.986292889989388,0.933014354066986,1.00209467951403,0.888563049853372,0.859153331063443,0.936950146627566,0.675391446599673,0.953246753246753,0.388811188811189,0.843137254901961,0.599003735990037,0.875420875420875,0.922924901185771,0.717008797653959,0.986692814119625,0.924401913875598,0.930589680589681,0.84015984015984,0.957386363636364,1.01357234314981,0.96969696969697,0.960088691796009,0.868155236576289,0.992860542598762,0.947658402203857,0.967409948542024;29;29
