Holmberg Anders;SM Medeldistans - Kval-H21 Kval A;Järla IF OK;1751;-27.01091;132,53,26,40,129,110,54,123,59,330,209,116,68,63,58,70,5852,-5760,19;0.995791245791246,0.9958071278826,0.978632478632479,0.863888888888889,0.96640826873385,0.921212121212121,0.965020576131687,0.898825654923216,1.02448210922787,1.01010101010101,0.984051036682616,0.915708812260536,0.934640522875817,1.01763668430335,0.988505747126437,0.86984126984127,0.0093984962406015,8.49907407407407,1.00584795321637;19;19
Johansson Andreas J;SM Medeldistans - Kval-H21 Kval A;Göteborg-Majorna OK;1754;-26.96472;133,55,25,35,130,110,54,117,59,339,219,106,57,74,57,61,49057,-48958,24;0.988304093567252,0.95959595959596,1.01777777777778,0.987301587301587,0.958974358974359,0.921212121212121,0.965020576131687,0.944919278252612,1.02448210922787,0.983284169124877,0.939117199391172,1.0020964360587,1.11500974658869,0.866366366366366,1.00584795321637,0.998178506375228,0.00112114479075361,0.999931914430056,0.796296296296296;19;19
Näsman Johan;SM Medeldistans - Kval-H21 Kval A;IFK Lidingös Skid o OK;1766;-26.78149;138,53,26,36,127,103,54,111,71,332,228,104,67,72,64,61,57,40,22;0.952495974235105,0.9958071278826,0.978632478632479,0.959876543209877,0.981627296587927,0.983818770226537,0.965020576131687,0.995995995995996,0.851330203442879,1.00401606425703,0.902046783625731,1.02136752136752,0.948590381426202,0.890432098765432,0.895833333333333,0.998178506375228,0.964912280701754,-1223.86666666667,0.868686868686869;19;19
Olsson Nils;SM Medeldistans - Kval-H21 Kval A;Stora Tuna IK;1803;-26.23190;132,54,25,35,115,110,70,117,66,377,198,106,64,73,63,68,49062,-48955,23;0.995791245791246,0.977366255144033,1.01777777777778,0.987301587301587,1.08405797101449,0.921212121212121,0.744444444444444,0.944919278252612,0.915824915824916,0.884173297966401,1.03872053872054,1.0020964360587,0.993055555555556,0.878234398782344,0.91005291005291,0.895424836601307,0.00112103053279524,0.999993191025772,0.830917874396135;19;19
Martner Patrik;SM Medeldistans - Kval-H21 Kval A;Leksands OK;1803;-26.23190;147,57,30,37,137,107,60,126,63,331,226,111,56,70,66,62,60,38,19;0.894179894179894,0.925925925925926,0.848148148148148,0.933933933933934,0.909975669099757,0.947040498442368,0.868518518518519,0.877425044091711,0.959435626102293,1.00704934541793,0.910029498525074,0.956956956956957,1.13492063492063,0.915873015873016,0.868686868686869,0.982078853046595,0.916666666666667,-1288.28070175439,1.00584795321637;19;19
Eriksson Håkan;SM Medeldistans - Kval-H21 Kval A;Malungs OK Skogsmårdarna;1813;-26.08721;146,60,26,34,134,120,58,113,65,340,208,112,76,84,63,63,54,37,20;0.900304414003044,0.87962962962963,0.978632478632479,1.01633986928105,0.930348258706468,0.844444444444444,0.898467432950192,0.978367748279253,0.92991452991453,0.980392156862745,0.988782051282051,0.948412698412698,0.83625730994152,0.763227513227513,0.91005291005291,0.966490299823633,1.01851851851852,-1323.0990990991,0.955555555555555;19;19
Andersson Tommy;SM Medeldistans - Kval-H21 Kval A;Vänersborgs SK;1817;-26.02978;140,59,27,35,132,104,53,111,60,348,222,108,109,69,61,64,55,39,21;0.938888888888889,0.894538606403013,0.94238683127572,0.987301587301587,0.944444444444445,0.974358974358974,0.983228511530398,0.995995995995996,1.00740740740741,0.957854406130268,0.926426426426426,0.983539094650206,0.583078491335372,0.92914653784219,0.939890710382514,0.951388888888889,1,-1255.24786324786,0.91005291005291;19;19
Dalin Kalle;SM Medeldistans - Kval-H21 Kval A;Leksands OK;1824;-25.92989;146,51,25,34,130,101,76,131,66,358,209,117,77,62,58,77,49,37,20;0.900304414003044,1.03485838779956,1.01777777777778,1.01633986928105,0.958974358974359,1.003300330033,0.685672514619883,0.843935538592027,0.915824915824916,0.931098696461825,0.984051036682616,0.907882241215575,0.825396825396825,1.03405017921147,0.988505747126437,0.790764790764791,1.12244897959184,-1323.0990990991,0.955555555555555;19;19
Jonasson Niclas;SM Medeldistans - Kval-H21 Kval A;Södertälje-Nykvar;1848;-25.59313;128,53,25,36,119,101,51,110,63,326,206,135,171,75,63,63,62,40,21;1.02690972222222,0.9958071278826,1.01777777777778,0.959876543209877,1.04761904761905,1.003300330033,1.02178649237473,1.0050505050505,0.959435626102293,1.02249488752556,0.998381877022654,0.786831275720165,0.371669915529565,0.854814814814815,0.91005291005291,0.966490299823633,0.887096774193548,-1223.86666666667,0.91005291005291;19;19
Eriksson Staffan;SM Medeldistans - Kval-H21 Kval A;Malungs OK Skogsmårdarna;1867;-25.33268;146,59,27,44,141,101,58,122,61,362,245,123,66,68,59,67,59,39,20;0.900304414003044,0.894538606403013,0.94238683127572,0.785353535353535,0.884160756501182,1.003300330033,0.898467432950192,0.906193078324226,0.990892531876138,0.920810313075506,0.839455782312925,0.863595302619693,0.962962962962963,0.94281045751634,0.971751412429379,0.908789386401327,0.932203389830508,-1255.24786324786,0.955555555555555;19;19
