Bertuks Edgars;WOC Middle Final-Men (MEN);Latvia;2205;0.99843;225,157,60,96,27,40,249,60,155,223,107,77,78,57,133,80,91,120,96,30,44;0.982222222222222,0.964099594672843,1.02272727272727,1.02840909090909,1.04713804713805,0.993181818181818,0.997444322745528,1.02878787878788,1.0158357771261,1.02812882185079,0.96856414613424,1.05667060212515,0.996503496503497,0.904306220095694,1.00478468899522,0.922727272727273,1.00899100899101,1.01893939393939,0.987689393939394,1.0030303030303,0.989669421487603;21;21
Novikov Valentin;WOC Middle Final-Men (MEN);Russia;2210;0.99617;231,146,65,99,27,39,240,63,154,231,97,84,77,52,131,73,100,127,96,31,47;0.956709956709957,1.03673723536737,0.944055944055944,0.997245179063361,1.04713804713805,1.01864801864802,1.03484848484848,0.97979797979798,1.0224321133412,0.992522628886265,1.06841611996251,0.968614718614719,1.00944510035419,0.991258741258741,1.02012491325468,1.01120797011208,0.918181818181818,0.962777380100215,0.987689393939394,0.970674486803519,0.926499032882012;21;21
Hertner Fabian;WOC Middle Final-Men (MEN);Switzerland;2230;0.98724;216,159,57,102,27,38,264,61,177,224,103,82,76,49,138,78,90,126,94,27,42;1.02314814814815,0.951972555746141,1.07655502392344,0.967914438502674,1.04713804713805,1.04545454545455,0.940771349862259,1.01192250372578,0.889573703133025,1.02353896103896,1.00617828773169,0.992239467849224,1.02272727272727,1.05194805194805,0.968379446640316,0.946386946386946,1.02020202020202,0.97041847041847,1.00870406189555,1.11447811447811,1.03679653679654;21;21
Gueorgiou Thierry;WOC Middle Final-Men (MEN);France;2235;0.98503;225,153,64,98,30,43,249,63,152,248,104,83,77,51,134,74,92,120,98,31,46;0.982222222222222,0.989304812834225,0.958806818181818,1.00742115027829,0.942424242424242,0.923890063424947,0.997444322745528,0.97979797979798,1.03588516746411,0.924486803519062,0.996503496503497,0.980284775465498,1.00944510035419,1.01069518716578,0.997286295793758,0.997542997542997,0.99802371541502,1.01893939393939,0.967532467532467,0.970674486803519,0.946640316205534;21;21
Gonon Francois;WOC Middle Final-Men (MEN);France;2238;0.98371;218,148,61,101,33,39,248,59,151,244,102,84,77,59,137,79,96,128,100,30,44;1.01376146788991,1.02272727272727,1.00596125186289,0.977497749774978,0.856749311294766,1.01864801864802,1.00146627565982,1.0462249614792,1.04274533413606,0.939642324888227,1.01604278074866,0.968614718614719,1.00944510035419,0.873651771956857,0.975447909754479,0.934407364787112,0.956439393939394,0.955255681818182,0.948181818181818,1.0030303030303,0.989669421487603;21;21
Öberg Peter;WOC Middle Final-Men (MEN);Sweden;2242;0.98196;223,152,81,92,28,40,257,60,161,222,105,81,79,55,132,80,91,133,96,31,43;0.991031390134529,0.995813397129187,0.757575757575758,1.07312252964427,1.00974025974026,0.993181818181818,0.966395472232048,1.02878787878788,0.977978543195935,1.03276003276003,0.987012987012987,1.00448933782267,0.983889528193326,0.937190082644628,1.01239669421488,0.922727272727273,1.00899100899101,0.919343814080656,0.987689393939394,0.970674486803519,1.01268498942918;21;21
Daehli Magne;WOC Middle Final-Men (MEN);Norway;2288;0.96221;234,152,67,98,29,42,243,59,191,232,119,90,78,53,135,76,98,128,92,29,43;0.944444444444444,0.995813397129187,0.915875169606513,1.00742115027829,0.974921630094044,0.945887445887446,1.02207257762813,1.0462249614792,0.824369347929557,0.988244514106583,0.870893812070283,0.904040404040404,0.996503496503497,0.972555746140652,0.98989898989899,0.971291866028708,0.936920222634508,0.955255681818182,1.03063241106719,1.03761755485893,1.01268498942918;21;21
Bergman Gustav;WOC Middle Final-Men (MEN);Sweden;2313;0.95181;248,163,65,99,30,42,257,66,155,242,103,88,85,54,155,72,96,124,97,31,41;0.891129032258065,0.928611266034579,0.944055944055944,0.997245179063361,0.942424242424242,0.945887445887446,0.966395472232048,0.935261707988981,1.0158357771261,0.94740796393689,1.00617828773169,0.924586776859504,0.914438502673797,0.954545454545455,0.862170087976539,1.02525252525253,0.956439393939394,0.986070381231671,0.977507029053421,0.970674486803519,1.06208425720621;21;21
Lauenstein Marc;WOC Middle Final-Men (MEN);Switzerland;2328;0.94568;234,169,70,119,31,42,254,68,162,248,115,91,81,51,126,72,99,126,96,30,44;0.944444444444444,0.895642818719742,0.876623376623377,0.829640947288006,0.912023460410557,0.945887445887446,0.97780959198282,0.907754010695187,0.971941638608305,0.924486803519062,0.901185770750988,0.894105894105894,0.95959595959596,1.01069518716578,1.06060606060606,1.02525252525253,0.927456382001836,0.97041847041847,0.987689393939394,1.0030303030303,0.989669421487603;21;21
Procházka Jan;WOC Middle Final-Men (MEN);Czech Republic;2341;0.94043;248,168,67,99,31,45,269,64,155,241,108,89,78,54,136,89,93,126,100,33,48;0.891129032258065,0.900974025974026,0.915875169606513,0.997245179063361,0.912023460410557,0.882828282828283,0.923284893545117,0.964488636363636,1.0158357771261,0.951339117314221,0.95959595959596,0.914198161389173,0.996503496503497,0.954545454545455,0.982620320855615,0.829417773237998,0.987292277614858,0.97041847041847,0.948181818181818,0.911845730027548,0.90719696969697;21;21
