Renard Damien;SM Medeldistans - Final-H21 Final;OK Denseln;2215;0.96009;67,147,91,84,94,46,382,86,104,246,56,52,374,37,60,96,72,70,33,18;1.05820895522388,0.863945578231292,0.930769230769231,1.05833333333333,1.03085106382979,0.984782608695652,1.03769633507853,1.03720930232558,0.943269230769231,0.86219512195122,1.11964285714286,0.982692307692308,0.867647058823529,1.05675675675676,0.846666666666667,1,0.963888888888889,1.01714285714286,1.08181818181818,0.922222222222222;20;20
Öberg Peter;SM Medeldistans - Final-H21 Final;OK Hällen;2236;0.95107;72,138,117,86,97,49,424,90,101,226,71,55,322,35,54,91,83,76,33,16;0.984722222222222,0.920289855072464,0.723931623931624,1.03372093023256,0.998969072164948,0.924489795918367,0.934905660377358,0.991111111111111,0.971287128712871,0.938495575221239,0.883098591549296,0.929090909090909,1.00776397515528,1.11714285714286,0.940740740740741,1.05494505494505,0.836144578313253,0.936842105263158,1.08181818181818,1.0375;20;20
Olsson Nils;SM Medeldistans - Final-H21 Final;Stora Tuna IK;2246;0.94684;76,127,93,91,101,63,406,85,105,230,97,58,323,39,52,96,75,72,39,18;0.932894736842105,1,0.910752688172043,0.976923076923077,0.959405940594059,0.719047619047619,0.976354679802956,1.04941176470588,0.934285714285714,0.922173913043478,0.64639175257732,0.881034482758621,1.0046439628483,1.0025641025641,0.976923076923077,1,0.925333333333333,0.988888888888889,0.915384615384615,0.922222222222222;20;20
Andersson Erik;SM Medeldistans - Final-H21 Final;OK Denseln;2251;0.94474;79,135,85,96,105,57,427,97,103,202,61,59,326,57,63,103,65,80,33,18;0.89746835443038,0.940740740740741,0.996470588235294,0.926041666666667,0.922857142857143,0.794736842105263,0.928337236533958,0.919587628865979,0.952427184466019,1.05,1.02786885245902,0.866101694915254,0.995398773006135,0.685964912280702,0.806349206349206,0.932038834951456,1.06769230769231,0.89,1.08181818181818,0.922222222222222;20;20
Holmberg Anders;SM Medeldistans - Final-H21 Final;Järla IF OK;2268;0.93765;73,141,87,100,122,47,419,93,101,209,66,54,331,41,72,102,70,87,36,17;0.971232876712329,0.900709219858156,0.973563218390805,0.889,0.794262295081967,0.963829787234042,0.946062052505967,0.959139784946237,0.971287128712871,1.01483253588517,0.95,0.946296296296296,0.98036253776435,0.953658536585366,0.705555555555555,0.941176470588235,0.991428571428572,0.818390804597701,0.991666666666667,0.976470588235294;20;20
Pilblad Jonas;SM Medeldistans - Final-H21 Final;OK Skogsfalken;2287;0.92986;78,147,87,87,114,46,403,96,103,204,80,46,337,88,66,101,74,72,40,18;0.908974358974359,0.863945578231292,0.973563218390805,1.02183908045977,0.85,0.984782608695652,0.983622828784119,0.929166666666667,0.952427184466019,1.03970588235294,0.78375,1.11086956521739,0.962908011869436,0.444318181818182,0.76969696969697,0.95049504950495,0.937837837837838,0.988888888888889,0.8925,0.922222222222222;20;20
Röjgård Mats;SM Medeldistans - Final-H21 Final;OK Kolmården;2303;0.92340;69,130,100,100,102,46,424,108,115,233,72,48,344,41,49,100,84,79,40,19;1.02753623188406,0.976923076923077,0.847,0.889,0.95,0.984782608695652,0.934905660377358,0.825925925925926,0.85304347826087,0.910300429184549,0.870833333333333,1.06458333333333,0.943313953488372,0.953658536585366,1.03673469387755,0.96,0.826190476190476,0.90126582278481,0.8925,0.873684210526316;20;20
Löwegren Fredrik;SM Medeldistans - Final-H21 Final;IFK Göteborg;2305;0.92260;72,138,83,87,134,43,437,87,93,233,121,46,310,56,53,108,70,73,42,19;0.984722222222222,0.920289855072464,1.02048192771084,1.02183908045977,0.723134328358209,1.05348837209302,0.907093821510297,1.02528735632184,1.05483870967742,0.910300429184549,0.518181818181818,1.11086956521739,1.04677419354839,0.698214285714286,0.958490566037736,0.888888888888889,0.991428571428572,0.975342465753425,0.85,0.873684210526316;20;20
Niggli Mattias;SM Medeldistans - Final-H21 Final;Ulricehamns OK;2341;0.90842;127,145,126,102,100,50,390,93,107,224,55,58,361,42,58,99,78,70,38,18;0.558267716535433,0.875862068965517,0.672222222222222,0.87156862745098,0.969,0.906,1.01641025641026,0.959139784946237,0.916822429906542,0.946875,1.14,0.881034482758621,0.898891966759003,0.930952380952381,0.875862068965517,0.96969696969697,0.88974358974359,1.01714285714286,0.939473684210526,0.922222222222222;20;20
Jonasson Niclas;SM Medeldistans - Final-H21 Final;Södertälje-Nykvar;2354;0.90340;106,131,88,95,107,60,417,118,101,209,80,63,353,49,54,112,74,77,41,19;0.668867924528302,0.969465648854962,0.9625,0.935789473684211,0.905607476635514,0.755,0.950599520383693,0.755932203389831,0.971287128712871,1.01483253588517,0.78375,0.811111111111111,0.919263456090652,0.797959183673469,0.940740740740741,0.857142857142857,0.937837837837838,0.924675324675325,0.870731707317073,0.873684210526316;20;20
