 Thierry Gueorgiou;WOC 2004 Middle Distance Final-Men Final;France;1965;1.00990;192,51,94,54,145,56,131,178,45,172,138,70,40,179,145,129,65,46,35;1.04403409090909,1.03565062388592,1.05125725338491,1.03030303030303,1.04326018808777,1.00974025974026,1.04510756419153,1.01685393258427,1.00808080808081,0.981501057082452,0.989459815546772,0.990909090909091,1.01363636363636,0.95733875063484,1.0025078369906,0.976039464411557,0.991608391608392,1.0197628458498,1.03896103896104;19;19
 Valentin Novikov;WOC 2004 Middle Distance Final-Men Final;Russia;1987;0.99872;207,49,104,58,144,54,130,191,52,166,138,69,39,165,147,120,68,47,39;0.968379446640316,1.07792207792208,0.950174825174825,0.959247648902821,1.05050505050505,1.04713804713805,1.05314685314685,0.947643979057592,0.872377622377622,1.01697699890471,0.989459815546772,1.00527009222661,1.03962703962704,1.03856749311295,0.98886827458256,1.04924242424242,0.947860962566845,0.998065764023211,0.932400932400932;19;19
 Anders Nordberg;WOC 2004 Middle Distance Final-Men Final;Norway;1992;0.99621;207,56,99,57,146,58,140,187,49,162,135,69,40,174,143,125,63,45,37;0.968379446640316,0.943181818181818,0.998163452708907,0.976076555023923,1.03611457036115,0.974921630094044,0.977922077922078,0.967914438502674,0.925788497217069,1.04208754208754,1.01144781144781,1.00527009222661,1.01363636363636,0.984848484848485,1.01652892561983,1.00727272727273,1.02308802308802,1.04242424242424,0.982800982800983;19;19
 Emil Wingstedt;WOC 2004 Middle Distance Final-Men Final;Sweden;1994;0.99521;199,53,104,59,151,64,134,175,44,172,132,67,40,176,147,130,65,47,35;1.00730927364093,0.996569468267582,0.950174825174825,0.942989214175655,1.00180614087899,0.883522727272727,1.02170963364993,1.03428571428571,1.03099173553719,0.981501057082452,1.03443526170799,1.03527815468114,1.01363636363636,0.973657024793388,0.98886827458256,0.968531468531469,0.991608391608392,0.998065764023211,1.03896103896104;19;19
 Johan Näsman;WOC 2004 Middle Distance Final-Men Final;Sweden;2049;0.96850;191,53,98,59,146,55,142,188,50,169,144,70,43,176,184,121,66,53,41;1.04950023798191,0.996569468267582,1.00834879406308,0.942989214175655,1.03611457036115,1.02809917355372,0.964148527528809,0.962765957446808,0.907272727272727,0.998924152770307,0.948232323232323,0.990909090909091,0.94291754756871,0.973657024793388,0.79001976284585,1.04057099924869,0.976584022038567,0.885077186963979,0.886917960088692;19;19
 Holger Hott Johansen;WOC 2004 Middle Distance Final-Men Final;Norway;2056;0.96520;213,51,101,57,153,61,173,177,43,164,143,71,45,160,140,148,70,48,38;0.941101152368758,1.03565062388592,0.978397839783978,0.976076555023923,0.988710635769459,0.926974664679583,0.791382028376248,1.0225988700565,1.05496828752643,1.02937915742794,0.954863318499682,0.976952624839949,0.901010101010101,1.07102272727273,1.03831168831169,0.850737100737101,0.920779220779221,0.977272727272727,0.956937799043062;19;19
 Jörgen Olsson;WOC 2004 Middle Distance Final-Men Final;Sweden;2103;0.94363;195,75,96,58,179,58,159,195,44,185,134,73,42,178,152,128,65,51,36;1.02797202797203,0.704242424242424,1.02935606060606,0.959247648902821,0.845099035043169,0.974921630094044,0.86106346483705,0.928205128205128,1.03099173553719,0.912530712530712,1.01899592944369,0.950186799501868,0.965367965367965,0.962717058222676,0.95633971291866,0.983664772727273,0.991608391608392,0.919786096256684,1.01010101010101;19;19
 Matthias Merz;WOC 2004 Middle Distance Final-Men Final;Switzerland;2131;0.93123;204,55,107,58,161,57,137,199,48,172,145,74,42,217,167,137,64,50,37;0.982620320855615,0.960330578512397,0.923534409515718,0.959247648902821,0.939582156973461,0.992025518341308,0.999336429993364,0.909547738693467,0.945075757575758,0.981501057082452,0.941692789968652,0.937346437346437,0.965367965367965,0.789694176790951,0.8704409363092,0.919044459190445,1.00710227272727,0.938181818181818,0.982800982800983;19;19
 Pasi Ikonen;WOC 2004 Middle Distance Final-Men Final;Finland;2152;0.92214;216,55,106,62,218,68,131,191,42,168,141,68,49,178,150,155,62,53,39;0.928030303030303,0.960330578512397,0.932246998284734,0.897360703812317,0.693911592994162,0.831550802139037,1.04510756419153,0.947643979057592,1.08008658008658,1.00487012987013,0.968407479045777,1.02005347593583,0.827458256029685,0.962717058222676,0.969090909090909,0.812316715542522,1.03958944281525,0.885077186963979,0.932400932400932;19;19
 Øystein Kristiansen;WOC 2004 Middle Distance Final-Men Final;Norway;2158;0.91958;217,62,110,63,158,67,147,183,64,185,142,77,45,178,171,135,69,48,37;0.92375366568915,0.851906158357771,0.898347107438016,0.883116883116883,0.957422324510932,0.843962008141113,0.931354359925789,0.989071038251366,0.708806818181818,0.912530712530712,0.961587708066581,0.900826446280992,0.901010101010101,0.962717058222676,0.850079744816587,0.932659932659933,0.934123847167325,0.977272727272727,0.982800982800983;19;19
