Leandersson Jonas;EOC 2012 Sprint - FINAL-Men A-final;Sweden;920;1.00962;23,27,53,48,15,44,68,25,21,33,65,29,139,62,21,91,48,33,33,22,20;0.996655518394649,1.02279202279202,1.0188679245283,0.96474358974359,1.07179487179487,1.0034965034965,0.981900452488688,0.975384615384615,1.05494505494505,1,1.00828402366864,1.0106100795756,1.05534034311013,1.02977667493797,0.970695970695971,1.01775147928994,0.943910256410256,1.01864801864802,1.03030303030303,0.937062937062937,0.976923076923077;21;21
Nikolov Kiril;EOC 2012 Sprint - FINAL-Men A-final;Bulgaria;925;1.00416;25,29,55,48,18,43,64,25,24,33,66,30,143,63,21,87,44,33,34,20,20;0.916923076923077,0.952254641909814,0.981818181818182,0.96474358974359,0.893162393162393,1.02683363148479,1.04326923076923,0.975384615384615,0.923076923076923,1,0.993006993006993,0.976923076923077,1.02582033351264,1.01343101343101,0.970695970695971,1.06454465075155,1.02972027972028,1.01864801864802,1,1.03076923076923,0.976923076923077;21;21
Lysell Jerker;EOC 2012 Sprint - FINAL-Men A-final;Sweden;927;1.00199;22,28,56,45,17,50,66,26,22,33,64,29,145,64,20,90,44,33,33,21,19;1.04195804195804,0.986263736263736,0.964285714285714,1.02905982905983,0.945701357466063,0.883076923076923,1.01165501165501,0.937869822485207,1.00699300699301,1,1.02403846153846,1.0106100795756,1.01167108753316,0.997596153846154,1.01923076923077,1.02905982905983,1.02972027972028,1.01864801864802,1.03030303030303,0.981684981684982,1.02834008097166;21;21
Hubmann Daniel;EOC 2012 Sprint - FINAL-Men A-final;Switzerland;927;1.00199;22,29,53,45,16,43,69,24,23,34,66,28,146,63,21,92,45,33,35,20,20;1.04195804195804,0.952254641909814,1.0188679245283,1.02905982905983,1.00480769230769,1.02683363148479,0.967670011148272,1.01602564102564,0.963210702341137,0.970588235294118,0.993006993006993,1.0467032967033,1.00474183350896,1.01343101343101,0.970695970695971,1.0066889632107,1.00683760683761,1.01864801864802,0.971428571428571,1.03076923076923,0.976923076923077;21;21
Fraser Scott;EOC 2012 Sprint - FINAL-Men A-final;Great Britain;934;0.99448;25,28,56,45,18,46,68,23,23,34,67,30,145,63,21,90,43,33,34,21,21;0.916923076923077,0.986263736263736,0.964285714285714,1.02905982905983,0.893162393162393,0.959866220735786,0.981900452488688,1.06020066889632,0.963210702341137,0.970588235294118,0.978185993111366,0.976923076923077,1.01167108753316,1.01343101343101,0.970695970695971,1.02905982905983,1.05366726296959,1.01864801864802,1,0.981684981684982,0.93040293040293;21;21
Kyburz Matthias;EOC 2012 Sprint - FINAL-Men A-final;Switzerland;946;0.98187;23,27,60,52,17,44,68,24,23,33,67,31,148,63,20,92,45,34,35,21,19;0.996655518394649,1.02279202279202,0.9,0.890532544378698,0.945701357466063,1.0034965034965,0.981900452488688,1.01602564102564,0.963210702341137,1,0.978185993111366,0.945409429280397,0.991164241164241,1.01343101343101,1.01923076923077,1.0066889632107,1.00683760683761,0.98868778280543,0.971428571428571,0.981684981684982,1.02834008097166;21;21
Müller Matthias;EOC 2012 Sprint - FINAL-Men A-final;Switzerland;955;0.97261;24,28,55,50,17,45,67,25,23,35,68,30,152,65,20,95,46,34,35,21,20;0.955128205128205,0.986263736263736,0.981818181818182,0.926153846153846,0.945701357466063,0.981196581196581,0.996555683122847,0.975384615384615,0.963210702341137,0.942857142857143,0.963800904977375,0.976923076923077,0.965080971659919,0.982248520710059,1.01923076923077,0.974898785425101,0.98494983277592,0.98868778280543,0.971428571428571,0.981684981684982,0.976923076923077;21;21
Gvildys Jonas Vytautas;EOC 2012 Sprint - FINAL-Men A-final;Lithuania;962;0.96554;29,31,55,46,16,45,65,24,26,33,68,31,152,69,23,94,45,35,36,20,19;0.790450928381963,0.890818858560794,0.981818181818182,1.0066889632107,1.00480769230769,0.981196581196581,1.02721893491124,1.01602564102564,0.85207100591716,1,0.963800904977375,0.945409429280397,0.965080971659919,0.92530657748049,0.88628762541806,0.985270049099836,1.00683760683761,0.96043956043956,0.944444444444444,1.03076923076923,1.02834008097166;21;21
Dæhli Magne;EOC 2012 Sprint - FINAL-Men A-final;Norway;965;0.96253;24,30,55,50,16,45,68,25,22,37,67,33,150,70,22,95,50,33,33,20,20;0.955128205128205,0.920512820512821,0.981818181818182,0.926153846153846,1.00480769230769,0.981196581196581,0.981900452488688,0.975384615384615,1.00699300699301,0.891891891891892,0.978185993111366,0.888111888111888,0.977948717948718,0.912087912087912,0.926573426573427,0.974898785425101,0.906153846153846,1.01864801864802,1.03030303030303,1.03076923076923,0.976923076923077;21;21
Karlsson Mattias;EOC 2012 Sprint - FINAL-Men A-final;Sweden;967;0.96054;23,29,56,53,18,45,69,26,23,35,67,30,152,67,21,95,47,35,34,21,21;0.996655518394649,0.952254641909814,0.964285714285714,0.873730043541364,0.893162393162393,0.981196581196581,0.967670011148272,0.937869822485207,0.963210702341137,0.942857142857143,0.978185993111366,0.976923076923077,0.965080971659919,0.95292766934558,0.970695970695971,0.974898785425101,0.963993453355155,0.96043956043956,1,0.981684981684982,0.93040293040293;21;21
