Lundanes Olav;WOC Long Final-Men (MEN);Norway;5682;1.02554;215,71,108,189,119,353,417,156,665,116,48,250,76,408,285,57,505,79,86,176,415,42,48,57,76,123,67,156,85,46,124,64;1.04093023255814,1.06619718309859,0.963888888888889,1.03015873015873,1.06386554621849,0.991784702549575,1.03597122302158,0.96025641025641,1.0596992481203,1.07672413793103,1.02916666666667,0.9884,1.00131578947368,1.07156862745098,1.00315789473684,0.46140350877193,1.04732673267327,0.824050632911392,1.07674418604651,1.05795454545455,1.03421686746988,1.03333333333333,1.05625,1.11228070175439,1.08815789473684,1.00569105691057,1.04776119402985,1.09038461538462,0.863529411764706,1.02173913043478,1.01612903225806,1.0328125;32;32
Merz Matthias;WOC Long Final-Men (MEN);Switzerland;5854;0.99540;251,78,103,191,125,366,405,141,691,133,56,273,88,461,275,28,519,68,86,180,415,44,51,60,84,121,71,181,73,48,119,69;0.891633466135458,0.970512820512821,1.01067961165049,1.01937172774869,1.0128,0.95655737704918,1.06666666666667,1.06241134751773,1.01982633863965,0.939097744360902,0.882142857142857,0.905128205128205,0.864772727272727,0.948373101952278,1.03963636363636,0.939285714285714,1.01907514450867,0.957352941176471,1.07674418604651,1.03444444444444,1.03421686746988,0.986363636363636,0.994117647058824,1.05666666666667,0.98452380952381,1.02231404958678,0.988732394366197,0.939779005524862,1.00547945205479,0.979166666666667,1.05882352941176,0.957971014492754;32;32
Bertuks Edgars;WOC Long Final-Men (MEN);Latvia;5953;0.97885;218,84,101,219,144,344,471,151,728,133,52,294,82,440,290,28,532,61,91,173,422,44,49,70,80,120,71,173,71,42,113,62;1.02660550458716,0.901190476190476,1.03069306930693,0.889041095890411,0.879166666666667,1.01773255813953,0.917197452229299,0.99205298013245,0.967994505494506,0.939097744360902,0.95,0.84047619047619,0.928048780487805,0.993636363636364,0.985862068965517,0.939285714285714,0.994172932330827,1.0672131147541,1.01758241758242,1.07630057803468,1.01706161137441,0.986363636363636,1.03469387755102,0.905714285714286,1.03375,1.03083333333333,0.988732394366197,0.983236994219653,1.03380281690141,1.11904761904762,1.11504424778761,1.06612903225806;32;32
Adamski Philippe;WOC Long Final-Men (MEN);France;6019;0.96812;231,82,107,198,143,384,455,161,731,123,49,250,81,456,275,34,511,61,109,185,430,48,51,69,88,133,74,170,81,48,133,68;0.968831168831169,0.923170731707317,0.972897196261682,0.983333333333333,0.885314685314685,0.91171875,0.949450549450549,0.930434782608696,0.964021887824898,1.01544715447154,1.00816326530612,0.9884,0.939506172839506,0.958771929824561,1.03963636363636,0.773529411764706,1.03502935420744,1.0672131147541,0.84954128440367,1.00648648648649,0.998139534883721,0.904166666666667,0.994117647058824,0.918840579710145,0.939772727272727,0.930075187969925,0.948648648648649,1.00058823529412,0.906172839506173,0.979166666666667,0.947368421052632,0.972058823529412;32;32
Holmberg Anders;WOC Long Final-Men (MEN);Sweden;6106;0.95432;219,69,112,185,123,354,428,156,729,134,50,271,75,442,284,46,554,98,95,198,448,43,68,141,85,131,74,174,71,48,134,67;1.02191780821918,1.09710144927536,0.929464285714286,1.05243243243243,1.02926829268293,0.988983050847458,1.00934579439252,0.96025641025641,0.966666666666667,0.932089552238806,0.988,0.911808118081181,1.01466666666667,0.989140271493213,1.00669014084507,0.571739130434783,0.954693140794224,0.664285714285714,0.974736842105263,0.94040404040404,0.958035714285714,1.0093023255814,0.745588235294118,0.449645390070922,0.972941176470588,0.944274809160305,0.948648648648649,0.977586206896552,1.03380281690141,0.979166666666667,0.940298507462687,0.986567164179104;32;32
Nikolov Kiril;WOC Long Final-Men (MEN);Bulgaria;6108;0.95401;225,83,104,260,149,354,422,158,722,129,50,248,140,429,303,42,547,77,102,199,445,43,53,64,84,122,68,176,74,46,125,65;0.994666666666667,0.912048192771084,1.00096153846154,0.748846153846154,0.849664429530201,0.988983050847458,1.02369668246445,0.948101265822785,0.976038781163435,0.968217054263566,0.988,0.996370967741935,0.543571428571428,1.01911421911422,0.943564356435644,0.626190476190476,0.96691042047532,0.845454545454545,0.907843137254902,0.935678391959799,0.964494382022472,1.0093023255814,0.956603773584906,0.990625,0.98452380952381,1.01393442622951,1.03235294117647,0.966477272727273,0.991891891891892,1.02173913043478,1.008,1.01692307692308;32;32
Tsvetkov Dmitriy;WOC Long Final-Men (MEN);Russia;6200;0.93985;243,76,120,222,190,338,551,144,762,182,49,252,71,436,273,30,517,60,111,185,428,47,52,68,89,134,74,168,81,47,133,67;0.920987654320988,0.996052631578947,0.8675,0.877027027027027,0.666315789473684,1.03579881656805,0.784029038112523,1.04027777777778,0.924803149606299,0.686263736263736,1.00816326530612,0.980555555555556,1.07183098591549,1.00275229357798,1.04725274725275,0.876666666666667,1.02301740812379,1.085,0.834234234234234,1.00648648648649,1.00280373831776,0.923404255319149,0.975,0.932352941176471,0.929213483146067,0.923134328358209,0.948648648648649,1.0125,0.906172839506173,1,0.947368421052632,0.986567164179104;32;32
Tranchand Frederic;WOC Long Final-Men (MEN);France;6235;0.93458;272,85,117,200,134,353,502,147,669,127,51,276,71,456,322,29,528,98,112,230,450,59,51,79,82,120,71,166,103,53,154,68;0.822794117647059,0.890588235294118,0.88974358974359,0.9735,0.944776119402985,0.991784702549575,0.860557768924303,1.01904761904762,1.05336322869955,0.983464566929134,0.968627450980392,0.895289855072464,1.07183098591549,0.958771929824561,0.887888198757764,0.906896551724138,1.00170454545455,0.664285714285714,0.826785714285714,0.809565217391304,0.953777777777778,0.735593220338983,0.994117647058824,0.80253164556962,1.00853658536585,1.03083333333333,0.988732394366197,1.02469879518072,0.712621359223301,0.886792452830189,0.818181818181818,0.972058823529412;32;32
Lassen Tue;WOC Long Final-Men (MEN);Denmark;6286;0.92700;323,81,106,232,146,355,414,184,715,127,52,272,79,480,288,27,566,69,91,192,448,43,74,66,90,127,74,221,73,61,141,69;0.692879256965944,0.934567901234568,0.982075471698113,0.839224137931034,0.867123287671233,0.986197183098592,1.04347826086957,0.814130434782609,0.985594405594406,0.983464566929134,0.95,0.908455882352941,0.963291139240506,0.910833333333333,0.992708333333333,0.974074074074074,0.934452296819788,0.943478260869565,1.01758241758242,0.969791666666667,0.958035714285714,1.0093023255814,0.685135135135135,0.960606060606061,0.918888888888889,0.974015748031496,0.948648648648649,0.769683257918552,1.00547945205479,0.770491803278688,0.893617021276596,0.957971014492754;32;32
Nordberg Anders;WOC Long Final-Men (MEN);Norway;6291;0.92626;220,90,107,205,135,371,446,166,689,138,54,259,92,491,302,27,560,73,121,203,477,47,63,68,99,143,80,203,81,52,146,83;1.01727272727273,0.841111111111111,0.972897196261682,0.949756097560976,0.937777777777778,0.94366576819407,0.968609865470852,0.902409638554217,1.02278664731495,0.905072463768116,0.914814814814815,0.954054054054054,0.827173913043478,0.890427698574338,0.946688741721854,0.974074074074074,0.944464285714286,0.891780821917808,0.765289256198347,0.917241379310345,0.89979035639413,0.923404255319149,0.804761904761905,0.932352941176471,0.835353535353535,0.865034965034965,0.8775,0.837931034482759,0.906172839506173,0.903846153846154,0.863013698630137,0.796385542168675;32;32
Tambasov Yury;WOC Long Final-Men (MEN);Belorussia;6297;0.92538;242,81,120,234,137,362,443,149,744,139,49,257,88,455,284,27,552,66,132,197,499,45,53,67,92,161,78,188,83,53,150,70;0.924793388429752,0.934567901234568,0.8675,0.832051282051282,0.924087591240876,0.967127071823204,0.975169300225734,1.00536912751678,0.947177419354839,0.898561151079137,1.00816326530612,0.96147859922179,0.864772727272727,0.960879120879121,1.00669014084507,0.974074074074074,0.958152173913043,0.986363636363636,0.701515151515151,0.945177664974619,0.860120240480962,0.964444444444444,0.956603773584906,0.946268656716418,0.898913043478261,0.76832298136646,0.9,0.904787234042553,0.88433734939759,0.886792452830189,0.84,0.944285714285714;32;32
Šedivý Jan;WOC Long Final-Men (MEN);Czech Republic;6308;0.92376;262,89,104,191,132,362,452,154,721,123,50,250,75,452,326,31,627,82,96,206,512,44,51,60,84,133,81,204,87,55,136,76;0.854198473282443,0.850561797752809,1.00096153846154,1.01937172774869,0.959090909090909,0.967127071823204,0.955752212389381,0.972727272727273,0.977392510402219,1.01544715447154,0.988,0.9884,1.01466666666667,0.967256637168142,0.876993865030675,0.848387096774194,0.843540669856459,0.79390243902439,0.964583333333333,0.903883495145631,0.83828125,0.986363636363636,0.994117647058824,1.05666666666667,0.98452380952381,0.930075187969925,0.866666666666667,0.833823529411765,0.84367816091954,0.854545454545454,0.926470588235294,0.869736842105263;32;32
Mamleev Mikhail;WOC Long Final-Men (MEN);Italy;6311;0.92332;248,93,103,202,209,355,442,155,738,126,52,245,102,466,326,27,570,72,108,203,457,45,55,66,85,131,76,206,81,56,137,74;0.90241935483871,0.813978494623656,1.01067961165049,0.963861386138614,0.605741626794258,0.986197183098592,0.97737556561086,0.966451612903226,0.954878048780488,0.991269841269841,0.95,1.00857142857143,0.746078431372549,0.938197424892704,0.876993865030675,0.974074074074074,0.927894736842105,0.904166666666667,0.857407407407407,0.917241379310345,0.939168490153173,0.964444444444444,0.921818181818182,0.960606060606061,0.972941176470588,0.944274809160305,0.923684210526316,0.825728155339806,0.906172839506173,0.839285714285714,0.91970802919708,0.893243243243243;32;32
Portin Fredric;WOC Long Final-Men (MEN);Finland;6323;0.92157;233,77,112,221,146,375,461,182,759,140,53,253,114,461,345,26,542,72,110,189,443,46,64,68,93,130,71,185,78,52,151,71;0.960515021459228,0.983116883116883,0.929464285714286,0.880995475113122,0.867123287671233,0.9336,0.937093275488069,0.823076923076923,0.928458498023715,0.892142857142857,0.932075471698113,0.976679841897233,0.667543859649123,0.948373101952278,0.828695652173913,1.01153846153846,0.975830258302583,0.904166666666667,0.841818181818182,0.985185185185185,0.968848758465011,0.943478260869565,0.7921875,0.932352941176471,0.889247311827957,0.951538461538462,0.988732394366197,0.919459459459459,0.941025641025641,0.903846153846154,0.834437086092715,0.930985915492958;32;32
Kerschbaumer Gernot;WOC Long Final-Men (MEN);Austria;6339;0.91925;230,88,117,205,129,380,455,167,768,140,54,295,89,499,310,29,576,71,96,198,465,73,49,65,83,132,75,188,75,49,121,68;0.97304347826087,0.860227272727273,0.88974358974359,0.949756097560976,0.981395348837209,0.921315789473684,0.949450549450549,0.897005988023952,0.917578125,0.892142857142857,0.914814814814815,0.837627118644068,0.855056179775281,0.876152304609218,0.922258064516129,0.906896551724138,0.918229166666667,0.916901408450704,0.964583333333333,0.94040404040404,0.923010752688172,0.594520547945205,1.03469387755102,0.975384615384615,0.996385542168675,0.937121212121212,0.936,0.904787234042553,0.978666666666667,0.959183673469388,1.04132231404959,0.972058823529412;32;32
Mihailovs Kalvis;WOC Long Final-Men (MEN);Latvia;6392;0.91162;222,88,107,221,128,355,451,155,751,138,52,261,118,466,327,27,536,65,97,213,461,44,63,67,84,155,73,239,151,64,144,69;1.00810810810811,0.860227272727273,0.972897196261682,0.880995475113122,0.9890625,0.986197183098592,0.957871396895787,0.966451612903226,0.938348868175766,0.905072463768116,0.95,0.946743295019157,0.644915254237288,0.938197424892704,0.874311926605504,0.974074074074074,0.986753731343284,1.00153846153846,0.954639175257732,0.874178403755869,0.931019522776573,0.986363636363636,0.804761904761905,0.946268656716418,0.98452380952381,0.798064516129032,0.961643835616438,0.711715481171548,0.486092715231788,0.734375,0.875,0.957971014492754;32;32
