Karlsson Mattias;SM medel kval-H21 Kval 1;Emmaboda Verda OK;2133;0.99193;118,40,61,79,114,63,96,40,128,194,89,80,229,45,45,172,39,223,114,62,33,32,37;1.01318267419962,1.01666666666667,1.04735883424408,1.07172995780591,0.850877192982456,1.02821869488536,1.0462962962963,0.986111111111111,0.842013888888889,1.05211912943872,1.08489388264669,1.02777777777778,1.06453178068899,0.88641975308642,0.918518518518519,0.928940568475452,0.925925925925926,1.06676631788739,0.899610136452242,1.05555555555556,0.727272727272727,0.930555555555556,0.921921921921922;23;23
Löfås Henrik;SM medel kval-H21 Kval 1;Stora Tuna OK;2188;0.96699;132,49,73,87,92,70,101,41,129,200,98,85,235,43,39,158,37,232,105,88,25,33,36;0.905723905723906,0.829931972789116,0.875190258751903,0.973180076628353,1.05434782608696,0.925396825396825,0.994499449944995,0.962059620596206,0.835486649440138,1.02055555555556,0.985260770975057,0.967320261437909,1.03735224586288,0.927648578811369,1.05982905982906,1.0112517580872,0.975975975975976,1.02538314176245,0.976719576719577,0.743686868686869,0.96,0.902356902356902,0.947530864197531;23;23
Stenström Tomas;SM medel kval-H21 Kval 1;OK Linné;2199;0.96215;123,38,64,84,108,63,101,39,127,211,97,81,257,39,45,157,34,250,122,64,28,29,38;0.971996386630533,1.07017543859649,0.998263888888889,1.00793650793651,0.898148148148148,1.02821869488536,0.994499449944995,1.01139601139601,0.848643919510061,0.967351237493418,0.995418098510882,1.01508916323731,0.948551664504972,1.02279202279202,0.918518518518519,1.01769285208776,1.06209150326797,0.951555555555555,0.840619307832423,1.02256944444444,0.857142857142857,1.02681992337165,0.89766081871345;23;23
Johansson Fredrik;SM medel kval-H21 Kval 1;IFK Lidingös Skid o OK;2217;0.95434;125,43,69,94,100,78,102,47,116,207,102,84,255,42,50,163,37,237,109,68,25,28,36;0.956444444444444,0.945736434108527,0.925925925925926,0.900709219858156,0.97,0.83048433048433,0.984749455337691,0.839243498817967,0.92911877394636,0.986044015029522,0.946623093681917,0.978835978835979,0.95599128540305,0.94973544973545,0.826666666666667,0.980231765507839,0.975975975975976,1.00375058602907,0.940876656472987,0.962418300653595,0.96,1.06349206349206,0.947530864197531;23;23
Wingstedt Emil;SM medel kval-H21 Kval 1;Växjö OK;2247;0.94160;116,40,64,122,144,66,108,38,133,203,91,79,243,37,41,148,41,247,129,66,23,33,35;1.03065134099617,1.01666666666667,0.998263888888889,0.693989071038251,0.673611111111111,0.981481481481481,0.930041152263374,1.03801169590643,0.810359231411863,1.00547345374932,1.06105006105006,1.0407876230661,1.00320073159579,1.07807807807808,1.00813008130081,1.07957957957958,0.880758807588076,0.963112910481332,0.795004306632214,0.991582491582492,1.04347826086957,0.902356902356902,0.974603174603175;23;23
Troeng Jan;SM medel kval-H21 Kval 1;OK Linné;2252;0.93951;114,43,63,91,99,71,118,44,117,220,100,89,252,42,43,162,40,252,132,70,27,31,32;1.04873294346979,0.945736434108527,1.01410934744268,0.93040293040293,0.97979797979798,0.912363067292645,0.851224105461394,0.896464646464646,0.921177587844254,0.927777777777778,0.965555555555556,0.923845193508115,0.967372134038801,0.94973544973545,0.961240310077519,0.986282578875171,0.902777777777778,0.944003527336861,0.776936026936027,0.934920634920635,0.888888888888889,0.960573476702509,1.06597222222222;23;23
Millegård Marcus;SM medel kval-H21 Kval 1;Sävedalens AIK;2260;0.93618;118,48,77,84,102,61,107,45,110,215,103,87,243,44,41,172,35,280,117,78,24,33,36;1.01318267419962,0.847222222222222,0.82972582972583,1.00793650793651,0.950980392156863,1.06193078324226,0.938733125649013,0.876543209876543,0.97979797979798,0.949354005167959,0.937432578209277,0.945083014048531,1.00320073159579,0.906565656565656,1.00813008130081,0.928940568475452,1.03174603174603,0.849603174603175,0.876543209876543,0.839031339031339,1,0.902356902356902,0.947530864197531;23;23
Kaisajuntti Linus;SM medel kval-H21 Kval 1;IFK Lidingös Skid o OK;2263;0.93494;124,45,64,93,102,86,120,40,107,216,101,87,256,43,43,166,45,250,110,71,27,29,38;0.96415770609319,0.903703703703704,0.998263888888889,0.910394265232975,0.950980392156863,0.753229974160207,0.837037037037037,0.986111111111111,1.00726895119418,0.944958847736626,0.955995599559956,0.945083014048531,0.952256944444444,0.927648578811369,0.961240310077519,0.962516733601071,0.802469135802469,0.951555555555555,0.932323232323232,0.921752738654147,0.888888888888889,1.02681992337165,0.89766081871345;23;23
Palm Magnus;SM medel kval-H21 Kval 1;Göteborg-Majorna OK;2267;0.93329;122,44,76,89,104,71,102,39,122,206,102,85,242,41,43,173,42,265,104,102,25,33,35;0.979963570127505,0.924242424242424,0.840643274853801,0.951310861423221,0.932692307692308,0.912363067292645,0.984749455337691,1.01139601139601,0.883424408014572,0.990830636461704,0.946623093681917,0.967320261437909,1.00734618916437,0.97289972899729,0.961240310077519,0.923570969813744,0.85978835978836,0.89769392033543,0.986111111111111,0.64161220043573,0.96,0.902356902356902,0.974603174603175;23;23
Håkansson Christian;SM medel kval-H21 Kval 1;Ronneby OK;2268;0.93288;126,46,64,92,105,66,114,47,128,214,113,96,257,39,48,179,40,242,97,63,26,32,34;0.948853615520282,0.884057971014493,0.998263888888889,0.920289855072464,0.923809523809524,0.981481481481481,0.881091617933723,0.839243498817967,0.842013888888889,0.953790238836968,0.854473942969518,0.856481481481482,0.948551664504972,1.02279202279202,0.861111111111111,0.892613283674736,0.902777777777778,0.983011937557392,1.05727376861397,1.03880070546737,0.923076923076923,0.930555555555556,1.00326797385621;23;23
Svärd Oskar;SM medel kval-H21 Kval 1;Ulricehamns OK;2273;0.93083;123,46,68,96,93,77,101,46,106,207,104,81,242,42,42,159,38,267,166,69,37,31,32;0.971996386630533,0.884057971014493,0.939542483660131,0.881944444444445,1.04301075268817,0.841269841269841,0.994499449944995,0.857487922705314,1.0167714884696,0.986044015029522,0.928418803418803,1.01508916323731,1.00734618916437,0.94973544973545,0.984126984126984,1.00489168413697,0.950292397660819,0.8909696213067,0.617804551539491,0.948470209339775,0.648648648648649,0.960573476702509,1.06597222222222;23;23
