Wingstedt Emil;SM medel final-H21 Final;Växjö OK;2168;0.99783;262,30,87,165,47,194,102,106,33,70,107,143,41,149,42,182,37,66,112,43,42,48,32,28;0.998854961832061,1.06,0.995402298850575,1.04848484848485,0.995744680851064,0.925773195876289,0.976470588235294,1.00094339622642,0.896969696969697,0.911428571428571,0.985981308411215,0.988111888111888,0.934146341463415,1.03758389261745,0.964285714285714,1.0021978021978,1.03513513513513,1.03939393939394,1.03214285714286,1.0046511627907,0.983333333333333,1.06666666666667,1.09375,1.03214285714286;24;24
Öberg Peter;SM medel final-H21 Final;OK Hällen;2190;0.98781;253,44,88,188,46,175,99,105,31,66,109,146,40,143,50,174,42,73,118,46,40,51,33,30;1.03438735177866,0.722727272727273,0.984090909090909,0.920212765957447,1.01739130434783,1.02628571428571,1.00606060606061,1.01047619047619,0.954838709677419,0.966666666666667,0.967889908256881,0.967808219178082,0.9575,1.08111888111888,0.81,1.04827586206897,0.911904761904762,0.93972602739726,0.979661016949153,0.939130434782609,1.0325,1.00392156862745,1.06060606060606,0.963333333333333;24;24
Olofsson Mikael;SM medel final-H21 Final;IFK Göteborg;2244;0.96404;262,34,93,173,48,188,101,110,36,68,113,144,41,164,44,189,40,73,118,42,42,53,38,30;0.998854961832061,0.935294117647059,0.931182795698925,1,0.975,0.95531914893617,0.986138613861386,0.964545454545454,0.822222222222222,0.938235294117647,0.933628318584071,0.98125,0.934146341463415,0.942682926829268,0.920454545454545,0.965079365079365,0.9575,0.93972602739726,0.979661016949153,1.02857142857143,0.983333333333333,0.966037735849057,0.921052631578947,0.963333333333333;24;24
Andersson Erik;SM medel final-H21 Final;OK Denseln;2248;0.96232;253,35,88,181,55,183,98,130,31,62,108,150,42,157,44,180,40,82,125,46,40,52,35,31;1.03438735177866,0.908571428571429,0.984090909090909,0.955801104972376,0.850909090909091,0.981420765027322,1.01632653061224,0.816153846153846,0.954838709677419,1.02903225806452,0.976851851851852,0.942,0.911904761904762,0.984713375796178,0.920454545454545,1.01333333333333,0.9575,0.836585365853659,0.9248,0.939130434782609,1.0325,0.984615384615385,1,0.932258064516129;24;24
Holmberg Anders;SM medel final-H21 Final;Järla IF OK;2249;0.96189;255,32,104,176,45,172,96,118,35,65,106,150,39,168,50,192,37,69,135,42,46,52,35,30;1.02627450980392,0.99375,0.832692307692308,0.982954545454545,1.04,1.04418604651163,1.0375,0.899152542372881,0.845714285714286,0.981538461538461,0.995283018867924,0.942,0.982051282051282,0.920238095238095,0.81,0.95,1.03513513513513,0.994202898550725,0.856296296296296,1.02857142857143,0.897826086956522,0.984615384615385,1,0.963333333333333;24;24
Millinger Mattias;SM medel final-H21 Final;OK Linné;2249;0.96189;281,33,85,168,50,204,99,126,30,67,107,136,35,169,45,176,42,69,121,47,42,52,34,31;0.931316725978648,0.963636363636364,1.01882352941176,1.0297619047619,0.936,0.880392156862745,1.00606060606061,0.842063492063492,0.986666666666667,0.952238805970149,0.985981308411215,1.03897058823529,1.09428571428571,0.914792899408284,0.9,1.03636363636364,0.911904761904762,0.994202898550725,0.955371900826446,0.919148936170213,0.983333333333333,0.984615384615385,1.02941176470588,0.932258064516129;24;24
Pilblad Jonas;SM medel final-H21 Final;OK Skogsfalken;2268;0.95384;279,32,90,171,56,195,105,111,30,63,101,157,41,167,56,187,39,72,113,44,41,49,37,32;0.937992831541219,0.99375,0.962222222222222,1.01169590643275,0.835714285714286,0.921025641025641,0.948571428571429,0.955855855855856,0.986666666666667,1.01269841269841,1.04455445544554,0.9,0.934146341463415,0.925748502994012,0.723214285714286,0.975401069518717,0.982051282051282,0.952777777777778,1.02300884955752,0.981818181818182,1.00731707317073,1.04489795918367,0.945945945945946,0.903125;24;24
Troeng Jan;SM medel final-H21 Final;OK Linné;2275;0.95090;264,33,87,185,47,185,107,114,29,70,103,162,41,172,41,193,42,70,122,49,42,53,37,27;0.991287878787879,0.963636363636364,0.995402298850575,0.935135135135135,0.995744680851064,0.970810810810811,0.930841121495327,0.930701754385965,1.02068965517241,0.911428571428571,1.02427184466019,0.872222222222222,0.934146341463415,0.898837209302326,0.98780487804878,0.945077720207254,0.911904761904762,0.98,0.947540983606557,0.881632653061225,0.983333333333333,0.966037735849057,0.945945945945946,1.07037037037037;24;24
Troeng Mats;SM medel final-H21 Final;OK Linné;2285;0.94674;302,36,87,193,52,180,100,104,38,59,103,144,42,164,40,223,36,65,113,44,43,52,37,28;0.866556291390728,0.883333333333333,0.995402298850575,0.896373056994819,0.9,0.997777777777778,0.996,1.02019230769231,0.778947368421053,1.08135593220339,1.02427184466019,0.98125,0.911904761904762,0.942682926829268,1.0125,0.817937219730942,1.06388888888889,1.05538461538462,1.02300884955752,0.981818181818182,0.96046511627907,0.984615384615385,0.945945945945946,1.03214285714286;24;24
Lind William;SM medel final-H21 Final;Sävedalens AIK;2302;0.93975;269,40,88,177,49,203,101,104,28,72,110,147,39,160,54,203,40,77,120,53,46,55,37,30;0.972862453531599,0.795,0.984090909090909,0.977401129943503,0.955102040816326,0.884729064039409,0.986138613861386,1.02019230769231,1.05714285714286,0.886111111111111,0.959090909090909,0.961224489795918,0.982051282051282,0.96625,0.75,0.898522167487685,0.9575,0.890909090909091,0.963333333333333,0.815094339622642,0.897826086956522,0.930909090909091,0.945945945945946,0.963333333333333;24;24
