 Matthias Merz;WOC 2007 Long Final-H21;Switzerland;6268;0.89726;274,146,288,87,274,178,182,1080,366,277,425,238,86,547,107,54,138,51,418,115,122,293,91,84,107,110,62,45,23;0.998377939983779,1.02891933028919,1.05362654320988,0.957854406130268,1.00892133008921,1.01560549313358,1.01282051282051,1.03374485596708,0.976624165148755,0.955074207781789,1.04,0.932306255835668,0.936692506459948,0.972780824700386,0.898234683281412,1.06584362139918,0.78743961352657,1.09150326797386,0.129452418926103,0.91304347826087,0.9408014571949,0.435343193022374,1.03785103785104,0.747354497354497,0.585669781931464,0.844444444444444,1.02329749103943,0.908641975308642,0.884057971014493;29;29
 Andrey Khramov;WOC 2007 Long Final-H21;Russia;6486;0.86710;277,146,300,92,264,180,178,1197,340,292,437,207,111,508,87,84,126,55,399,98,144,439,98,57,145,98,62,44,21;0.987565182511031,1.02891933028919,1.01148148148148,0.905797101449275,1.04713804713805,1.00432098765432,1.03558052434457,0.932702125684582,1.05130718954248,0.906012176560122,1.01144164759725,1.07192699946323,0.725725725725726,1.04746281714786,1.10472541507024,0.685185185185185,0.862433862433862,1.01212121212121,0.135616819827346,1.07142857142857,0.797067901234568,0.290559352062769,0.963718820861678,1.10136452241715,0.432183908045977,0.947845804988662,1.02329749103943,0.929292929292929,0.968253968253968;29;29
 Anders Nordberg;WOC 2007 Long Final-H21;Norway;6516;0.86311;277,153,304,128,284,206,184,1104,372,279,460,229,72,515,109,55,103,91,51,434,172,120,330,87,89,144,103,40,21;0.987565182511031,0.981844589687727,0.998172514619883,0.651041666666667,0.97339593114241,0.877562028047465,1.0018115942029,1.01127214170692,0.960872162485066,0.948227797690163,0.960869565217391,0.968947113051916,1.11882716049383,1.03322545846818,0.881753312945973,1.04646464646465,1.05501618122977,0.611721611721612,1.06100217864924,0.241935483870968,0.667312661498708,1.06296296296296,0.286195286195286,0.721583652618135,0.704119850187266,0.645061728395062,0.61596548004315,1.02222222222222,0.968253968253968;29;29
 Mats Haldin;WOC 2007 Long Final-H21;Finland;6532;0.86099;281,191,314,106,302,181,180,1178,356,257,439,240,100,509,124,54,124,56,417,96,151,381,81,92,117,85,61,40,19;0.973507315144326,0.786503781268179,0.966383581033263,0.786163522012579,0.915378955114055,0.998772252915899,1.02407407407407,0.947745708356914,1.00405742821473,1.0293990488543,1.00683371298405,0.924537037037037,0.805555555555556,1.04540493342065,0.775089605734767,1.06584362139918,0.876344086021505,0.994047619047619,0.129762856381561,1.09375,0.760117733627667,0.334791484397784,1.16598079561043,0.682367149758454,0.535612535612536,1.09281045751634,1.04007285974499,1.02222222222222,1.07017543859649;29;29
 Vyacheslav Mukhidinov;WOC 2007 Long Final-H21;Ukraine;6585;0.85406;299,160,326,76,313,191,187,1168,399,257,451,217,90,556,127,55,105,92,55,411,157,149,303,87,83,131,77,43,20;0.914901523597176,0.938888888888889,0.930811179277437,1.09649122807018,0.883209087681931,0.946480511925538,0.985739750445633,0.9558599695586,0.895850737956001,1.0293990488543,0.980044345898004,1.02252944188428,0.895061728395062,0.957034372501998,0.756780402449694,1.04646464646465,1.03492063492064,0.605072463768116,0.983838383838384,0.255474452554745,0.7310686482661,0.856077554064131,0.311697836450312,0.721583652618135,0.755020080321285,0.709075487701442,0.823953823953824,0.950904392764858,1.01666666666667;29;29
 Roman Efimov;WOC 2007 Long Final-H21;Russia;6590;0.85341;291,182,329,85,278,181,197,1162,365,264,454,227,90,545,115,58,110,89,54,412,111,124,401,97,88,148,68,44,21;0.940053455517373,0.825396825396825,0.922323539344816,0.980392156862745,0.994404476418865,0.998772252915899,0.935702199661591,0.960795563205202,0.979299847792999,1.00210437710438,0.973568281938326,0.977484092021537,0.895061728395062,0.976350662589195,0.835748792270531,0.992337164750958,0.987878787878788,0.625468164794007,1.00205761316872,0.254854368932039,1.03403403403403,1.02867383512545,0.235522305347742,0.647193585337915,0.712121212121212,0.627627627627628,0.933006535947712,0.929292929292929,0.968253968253968;29;29
 Michal Smola;WOC 2007 Long Final-H21;Czech Republic;6632;0.84801;272,152,302,93,268,165,188,1150,453,259,474,220,94,539,93,82,103,92,53,447,162,147,320,120,61,181,76,44,22;1.00571895424837,0.988304093567251,1.00478292862399,0.896057347670251,1.03150912106136,1.0956228956229,0.980496453900709,0.970821256038647,0.789060583762571,1.02145002145002,0.932489451476793,1.00858585858586,0.856973995271868,0.987219130076273,1.03345280764636,0.70189701897019,1.05501618122977,0.605072463768116,1.020964360587,0.23489932885906,0.708504801097394,0.867724867724868,0.295138888888889,0.523148148148148,1.02732240437158,0.513198281154082,0.834795321637427,0.929292929292929,0.924242424242424;29;29
 Mikhail Mamleev;WOC 2007 Long Final-H21;Italy;6661;0.84432;278,150,292,87,286,203,211,1210,367,293,440,259,95,562,115,62,138,56,436,166,130,290,93,86,118,109,67,41,21;0.984012789768185,1.00148148148148,1.03919330289193,0.957854406130268,0.966588966588967,0.890530925013684,0.873617693522907,0.922681359044995,0.97396306388132,0.902919984831248,1.00454545454545,0.856713856713857,0.847953216374269,0.946816923685251,0.835748792270531,0.92831541218638,0.78743961352657,0.994047619047619,0.124108053007136,0.632530120481928,0.882905982905983,0.439846743295019,1.01553166069295,0.729974160206718,0.531073446327684,0.852191641182467,0.946932006633499,0.997289972899729,0.968253968253968;29;29
 Jamie Stevenson;WOC 2007 Long Final-H21;Great Britain;6688;0.84091;311,154,335,88,295,197,191,1173,392,274,450,223,88,583,96,86,131,57,466,112,124,346,105,59,129,93,65,44,21;0.879599857091818,0.975468975468975,0.905804311774461,0.946969696969697,0.937099811676083,0.91765369430344,0.965095986038394,0.951785545135929,0.911848072562358,0.965531224655312,0.982222222222222,0.995017438963627,0.91540404040404,0.912712025919573,1.00115740740741,0.669250645994832,0.829516539440204,0.976608187134503,0.116118264186934,0.9375,0.925627240143369,0.368657675016057,0.899470899470899,1.06403013182674,0.48578811369509,0.998805256869773,0.976068376068376,0.929292929292929,0.968253968253968;29;29
 Kiril Nikolov;WOC 2007 Long Final-H21;Bulgaria;6699;0.83953;317,179,367,90,277,218,209,1108,392,269,451,227,87,582,115,64,134,55,450,106,128,374,92,76,105,89,72,44,22;0.862951279355065,0.839230291744258,0.826824099303663,0.925925925925926,0.997994384275973,0.829255861365953,0.881977671451356,1.0076213397513,0.911848072562358,0.983477901693515,0.980044345898004,0.977484092021537,0.925925925925926,0.914280259641084,0.835748792270531,0.899305555555556,0.810945273631841,1.01212121212121,0.120246913580247,0.990566037735849,0.896701388888889,0.341057635175282,1.02657004830918,0.826023391812866,0.596825396825397,1.04369538077403,0.881172839506173,0.929292929292929,0.924242424242424;29;29
 Baptiste Rollier;WOC 2007 Long Final-H21;Switzerland;6711;0.83803;298,152,348,88,304,186,185,1248,396,295,494,229,95,550,94,87,112,89,51,435,98,133,299,113,65,136,70,42,19;0.917971662938106,0.988304093567251,0.871966794380588,0.946969696969697,0.909356725146199,0.971923536439665,0.996396396396396,0.894586894586895,0.902637485970819,0.896798493408663,0.894736842105263,0.968947113051916,0.847953216374269,0.967474747474747,1.02245862884161,0.661558109833972,0.970238095238095,0.625468164794007,1.06100217864924,0.241379310344828,1.17120181405896,0.95906432748538,0.315867707172055,0.555555555555556,0.964102564102564,0.683006535947712,0.906349206349206,0.973544973544973,1.07017543859649;29;29
 Ionut Alin Zinca;WOC 2007 Long Final-H21;Romania;6740;0.83442;289,162,352,97,302,200,209,1119,335,273,469,286,97,576,113,59,107,90,51,426,153,126,383,98,85,155,67,40,21;0.946559015763168,0.927297668038409,0.862058080808081,0.859106529209622,0.915378955114055,0.903888888888889,0.881977671451356,0.997716214874392,1.06699834162521,0.969067969067969,0.942430703624733,0.775835275835276,0.830469644902635,0.923804012345679,0.850540806293019,0.975517890772128,1.01557632398754,0.618518518518518,1.06100217864924,0.246478873239437,0.750181554103123,1.01234567901235,0.246591238758341,0.640589569160998,0.737254901960784,0.599283154121864,0.946932006633499,1.02222222222222,0.968253968253968;29;29
 Valentin Novikov;WOC 2007 Long Final-H21;Russia;6758;0.83220;307,159,315,109,296,198,241,1069,371,260,467,242,79,579,111,60,149,57,459,104,167,365,112,97,138,117,64,44,22;0.891060441549041,0.944793850454228,0.96331569664903,0.764525993883792,0.933933933933934,0.913019079685746,0.764868603042877,1.04438208086477,0.963462114405511,1.01752136752137,0.946466809421842,0.916896235078053,1.0196905766526,0.919017463058914,0.865865865865866,0.959259259259259,0.729306487695749,0.976608187134503,0.117889130961026,1.00961538461538,0.687292082501663,0.349467275494673,0.843253968253968,0.647193585337915,0.454106280193237,0.793922127255461,0.991319444444444,0.929292929292929,0.924242424242424;29;29
 Francois Gonon;WOC 2007 Long Final-H21;France;6805;0.82645;284,157,355,81,292,191,205,1134,471,281,468,241,97,557,98,84,135,58,463,101,147,359,123,73,117,95,67,45,26;0.963223787167449,0.956829440905874,0.854773082942097,1.02880658436214,0.946727549467276,0.946480511925538,0.899186991869919,0.984518910444836,0.758905402217504,0.941478845393436,0.944444444444444,0.920700783771323,0.830469644902635,0.955316177937363,0.980725623582766,0.685185185185185,0.804938271604938,0.959770114942529,0.116870650347972,1.03960396039604,0.780801209372638,0.355307954193748,0.767841011743451,0.859969558599696,0.535612535612536,0.977777777777778,0.946932006633499,0.908641975308642,0.782051282051282;29;29
 Jonas Pilblad;WOC 2007 Long Final-H21;Sweden;6824;0.82415;284,169,330,87,295,203,230,1268,397,277,455,220,80,588,97,86,113,105,57,464,122,129,322,113,55,146,66,43,23;0.963223787167449,0.888888888888889,0.91952861952862,0.957854406130268,0.937099811676083,0.890530925013684,0.801449275362319,0.880476691202243,0.900363839910439,0.955074207781789,0.971428571428571,1.00858585858586,1.00694444444444,0.904950869236584,0.990836197021764,0.669250645994832,0.96165191740413,0.53015873015873,0.949317738791423,0.226293103448276,0.9408014571949,0.988802756244617,0.293305728088337,0.555555555555556,1.13939393939394,0.636225266362253,0.961279461279461,0.950904392764858,0.884057971014493;29;29
 Lukas Bartak;WOC 2007 Long Final-H21;Slovakia;6832;0.82319;281,248,302,125,280,281,192,1148,346,275,476,245,89,562,119,62,138,89,63,428,140,150,321,96,87,147,72,47,23;0.973507315144326,0.60573476702509,1.00478292862399,0.666666666666667,0.987301587301587,0.643337287465401,0.960069444444445,0.97251258226868,1.03307642903019,0.962020202020202,0.928571428571429,0.905668934240363,0.905118601747815,0.946816923685251,0.80765639589169,0.92831541218638,0.78743961352657,0.625468164794007,0.858906525573192,0.245327102803738,0.81984126984127,0.85037037037037,0.294219453097958,0.653935185185185,0.720306513409962,0.631897203325775,0.881172839506173,0.869976359338061,0.884057971014493;29;29
